symbol,median_dollar_volume,median_close,daily_vol_bp,tick_floor_half_bp,edge_raw_half_bp
A,261428997.6,135.05,200.53495617205414,0.37,24.243
AA,283721627.3,52.3,348.5416414396594,0.956,23.935
AAL,845471483.0,13.43,295.1685961530953,3.723,39.052
AAME,30652.1,2.53,389.0208444834845,19.763,125.308
AAMI,17782570.5,54.42,257.2172066819843,0.919,20.833
AAOI,588696500.4,87.54,870.4537044325186,0.571,89.086
AAON,89610359.8,93.44,372.61368834096766,0.535,90.857
AAP,82811068.1,53.57,372.78119654520515,0.933,53.623
AAPL,12678633955.6,272.19,159.63716674063434,0.184,15.463
AARD,1302939.0,7.25,700.7260577867813,6.897,99.069
AAUC,10794711.1,23.62,316.85075026763377,2.117,29.673
AB,9058796.5,38.44,138.28203888087788,1.301,27.58
ABAT,15726810.8,3.38,779.6919167694448,14.793,91.479
ABBV,1251705126.1,225.17,166.0920560988672,0.222,17.563
ABCB,34198374.3,80.44,142.55181744619222,0.622,28.902
ABEO,5859719.0,5.39,337.65491913275446,9.276,39.327
ABEV,76023400.2,2.88,193.89154375022304,17.361,22.389
ABG,42513801.1,219.47,201.3947008795823,0.228,38.126
ABM,20852986.1,44.48,178.71614024454877,1.124,31.449
ABNB,540304843.1,132.6,212.85431617078885,0.377,45.211
ABOS,703862.2,2.29,516.3787073136801,21.834,59.545
ABSI,16201780.0,3.67,639.6312332152526,13.624,87.933
ABT,909458436.9,110.83,168.16433952826782,0.451,24.324
ABTC,15258051.2,1.83,684.3738797686215,27.322,255.859
ABUS,5900486.5,4.45,299.9424058512545,11.236,46.061
ABVC,123878.1,1.46,538.1760936054604,34.247,79.135
ABX,4644784.5,8.71,350.3422833406938,5.741,60.739
ACA,29685966.4,113.76,204.697676459155,0.44,26.555
ACAD,36770889.2,23.72,237.38241504737402,2.108,46.902
ACCO,2700919.1,3.93,245.29600522433338,12.723,27.003
ACCS,92565.0,8.02,379.5595825225287,6.234,151.263
ACDC,6540414.7,5.05,521.0568654597112,9.901,50.847
ACEL,3434678.6,11.44,200.78953140906395,4.371,31.331
ACET,856009.5,7.43,453.7497732723364,6.729,107.42
ACFN,334041.6,18.44,538.2804267020956,2.711,104.637
ACGL,187035111.9,94.44,132.87748712596488,0.529,21.06
ACH,2778905.4,2.83,535.8588911155263,17.668,71.154
ACHC,58508732.4,23.91,414.2311161727889,2.091,105.689
ACHR,250552540.6,6.76,454.77625058719303,7.396,68.009
ACI,109550156.4,17.12,250.4779360699573,2.921,20.252
ACIC,2170893.2,11.25,208.8232835187896,4.444,30.956
ACIU,696261.1,2.87,468.61813856136956,17.422,64.976
