ticker,first_bar,last_bar,last_close,n_bars,median_dollar_volume
AABA,2017-06-19,2019-10-02,19.63,577,532805898.24
AACQU,2020-07-14,2021-06-24,11.05,240,468106.77
ABDC,2016-01-04,2020-01-31,8.9,1027,418055.70
ACACU,2020-10-23,2024-09-26,12.94,987,0.00
ACAMU,2019-02-22,2021-01-21,12.94,483,0.00
ACBI,2016-01-04,2022-02-28,32.34,1550,1431884.97
ACC,2016-01-04,2022-08-09,65.42,1662,38870056.15
ACGLP,2016-10-03,2021-09-29,24.99,1257,1122036.29
ACIA,2016-05-13,2021-02-26,114.99,1206,34419673.11
ACKIT,2021-02-04,2022-08-31,10.3801,397,38544.02
ACKIU,2020-12-21,2022-08-31,10.36,427,9308.00
ACSF,2016-01-04,2018-08-24,12.25,667,456663.45
ACTCU,2020-09-23,2021-06-14,21.2,182,239506.36
ACTDU,2021-03-23,2022-07-21,7.655,336,10077.50
ACTTU,2019-04-26,2020-06-24,13.05,294,3069.03
ADMS,2016-01-04,2021-11-23,8.22,1485,2938706.02
ADOCU,2020-11-10,2020-12-09,10.18,21,234703.80
ADRD,2016-01-04,2020-02-13,22.19,1036,74727.82
ADRU,2016-01-04,2020-02-13,21.6,1036,17543.91
ADSW,2016-10-06,2020-10-29,30.3,1024,12468249.95
AEB,2016-01-04,2021-09-14,25.01,1435,383145.67
AEGN,2016-01-04,2021-05-14,29.99,1351,3028172.10
AEPPL,2020-10-01,2022-03-14,52.61,365,1603400.90
AETI,2016-01-04,2019-07-26,0.8901,897,29563.79
AFC,2016-01-04,2021-03-24,25.32,1315,252880.63
AFGH,2016-01-04,2020-11-13,25.37,1227,325857.60
AGC,2016-01-04,2021-12-01,11.01,1490,468224.25
AGCUU,2020-10-01,2021-12-01,11.87,295,543935.92
AGGE,2016-05-10,2020-02-04,19.62,941,83182.33
AGGP,2016-05-10,2021-02-04,19.835,1194,392996.32
AGN,2016-01-04,2020-05-08,193.02,1095,564989219.30
AGND,2016-01-04,2020-05-27,38.06,1107,57561.59
AGT,2017-04-27,2022-08-22,26.38,1340,42757.35
AHACU,2020-09-18,2021-08-26,12.077,237,41883.75
AHL,2016-01-04,2026-02-23,37.5,984,16831407.28
AIIQ,2018-06-06,2022-07-28,24.56,1044,23778.64
AIMT,2016-01-04,2020-10-12,34.49,1203,11438387.70
AIW,2016-01-04,2021-08-05,25.0,1408,20008.13
AIZP,2018-03-15,2021-03-12,127.52,754,495959.35
AKCA,2017-07-14,2020-10-09,18.17,817,5156589.72
AKP,2016-01-04,2019-05-02,14.83,838,321667.96
AKS,2016-01-04,2020-03-12,1.59,1055,48114918.80
ALAC,2018-11-21,2022-04-25,12.02,861,27670.50
ALACR,2018-11-21,2022-04-25,0.035,861,759.57
ALACU,2018-10-24,2022-02-18,11.8,837,0.00
ALD,2016-01-04,2019-03-14,44.25,804,24664.89
ALDR,2016-01-04,2019-10-21,18.88,957,13898392.80
ALFA,2016-01-04,2022-08-30,62.1,1677,95099.76
ALGR,2018-08-13,2020-04-08,10.39,417,10978.00
ALGRR,2018-08-13,2020-04-20,0.018,424,76.50
ALGRU,2018-07-03,2020-03-31,10.84,439,0.00
ALN,2016-01-04,2018-09-28,0.1396,691,11142.47
ALO,2017-05-16,2020-06-30,1.26,787,190109.66
ALOG,2016-01-04,2018-06-22,83.95,623,6897625.86
