ticker,last_bar,last_close,outcome,effective_date,acquirer_symbol,cash_rate,exchange_ratio,acquirer_close_used,acquirer_close_date,price_lookup_method,final_value_per_share,implied_final_return,notes
AABA,2019-10-02,19.63,no_action_found,,,,,,,,,,
AACQU,2021-06-24,11.05,no_action_found,,,,,,,,,,
ABDC,2020-01-31,8.9,no_action_found,,,,,,,,,,
ACACU,2024-09-26,12.94,no_action_found,,,,,,,,,,
ACAMU,2021-01-21,12.94,no_action_found,,,,,,,,,,
ACBI,2022-02-28,32.34,stock_merger,2022-02-28,SSB,,0.36,90.0,2022-02-28,exact,32.4,0.0018552875695732052,"valued at acquirer close on effective_date read from the price store (approximation, see limitations)"
ACC,2022-08-09,65.42,cash_merger,2022-08-09,,65.47,,,,,65.47,0.0007642922653621209,
ACGLP,2021-09-29,24.99,no_action_found,,,,,,,,,,
ACIA,2021-02-26,114.99,cash_merger,2021-03-01,CSCO,115.0,,,,,115.0,8.696408383346288e-05,
ACKIT,2022-08-31,10.3801,no_action_found,,,,,,,,,,
ACKIU,2022-08-31,10.36,no_action_found,,,,,,,,,,
ACSF,2018-08-24,12.25,no_action_found,,,,,,,,,,
ACTCU,2021-06-14,21.2,no_action_found,,,,,,,,,,
ACTDU,2022-07-21,7.655,no_action_found,,,,,,,,,,
ACTTU,2020-06-24,13.05,other_action,2020-06-24,,,,,,,,,non-merger corporate action: reverse_split; no cash/stock value implied by this type
ADMS,2021-11-23,8.22,no_action_found,,,,,,,,,,
ADOCU,2020-12-09,10.18,no_action_found,,,,,,,,,,
ADRD,2020-02-13,22.19,no_action_found,,,,,,,,,,
ADRU,2020-02-13,21.6,no_action_found,,,,,,,,,,
ADSW,2020-10-29,30.3,cash_merger,2020-10-30,WM,30.3,,,,,30.3,0.0,
AEB,2021-09-14,25.01,no_action_found,,,,,,,,,,
AEGN,2021-05-14,29.99,cash_merger,2021-05-17,,30.0,,,,,30.0,0.0003334444814939719,
AEPPL,2022-03-14,52.61,no_action_found,,,,,,,,,,
AETI,2019-07-26,0.8901,other_action,2019-07-29,,,,,,,,,non-merger corporate action: reverse_split; no cash/stock value implied by this type
AFC,2021-03-24,25.32,no_action_found,,,,,,,,,,
AFGH,2020-11-13,25.37,no_action_found,,,,,,,,,,
AGC,2021-12-01,11.01,stock_merger,2021-12-01,,,1.0,,,no_acquirer_symbol,,,"acquirer close not found in store [2 corporate-action records found across all types for this symbol; picked the stock_merger record whose effective_date is closest to last_bar -- likely a reused ticker or a residual/fractional-share sweep alongside the real deal, see corporate_actions_raw.json.gz]"
AGCUU,2021-12-01,11.87,no_action_found,,,,,,,,,,
AGGE,2020-02-04,19.62,no_action_found,,,,,,,,,,
AGGP,2021-02-04,19.835,no_action_found,,,,,,,,,,
AGN,2020-05-08,193.02,stock_and_cash_merger,2020-05-08,ABBV,120.3,0.866,83.96,2020-05-08,exact,193.00936,-5.512382136574345e-05,"cash+stock component; stock leg valued at acquirer close (approximation, see limitations)."
AGND,2020-05-27,38.06,no_action_found,,,,,,,,,,
AGT,2022-08-22,26.38,no_action_found,,,,,,,,,,
AHACU,2021-08-26,12.077,no_action_found,,,,,,,,,,
AHL,2026-02-23,37.5,cash_merger,2026-02-24,,37.5,,,,,37.5,0.0,
AIIQ,2022-07-28,24.56,no_action_found,,,,,,,,,,
AIMT,2020-10-12,34.49,cash_merger,2020-10-13,,34.5,,,,,34.5,0.0002899391127861861,
AIW,2021-08-05,25.0,no_action_found,,,,,,,,,,
AIZP,2021-03-12,127.52,no_action_found,,,,,,,,,,
AKCA,2020-10-09,18.17,cash_merger,2020-10-12,IONS,18.15,,,,,18.15,-0.0011007154650524154,
AKP,2019-05-02,14.83,no_action_found,,,,,,,,,,
AKS,2020-03-12,1.59,no_action_found,,,,,,,,,,
ALAC,2022-04-25,12.02,no_action_found,,,,,,,,,,
ALACR,2022-04-25,0.035,no_action_found,,,,,,,,,,
ALACU,2022-02-18,11.8,no_action_found,,,,,,,,,,
ALD,2019-03-14,44.25,no_action_found,,,,,,,,,,
