Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
01/02/2008,ProShares Ultra S&P500,SSO,5.04875,5.1975,-2.86195,-0.14875,109200.02,551323580.78
01/02/2009,ProShares Ultra S&P500,SSO,1.760625,1.65625,6.30189,0.104375,1959600.02,3450120778.17
12/31/2024,ProShares Ultra S&P500,SSO,46.2306,46.62445,-0.84473,-0.39385,117800,5445964680
12/31/2025,ProShares Ultra S&P500,SSO,57.9078,58.7817,-1.48669,-0.8739,130550,7559863290
01/02/2008,ProShares UltraShort S&P500,SDS,22168,21544,2.89640,624,79.5,1762356055.42
01/02/2009,ProShares UltraShort S&P500,SDS,26452,28252,-6.37123,-1800,87.75,2321163066.13
12/31/2024,ProShares UltraShort S&P500,SDS,98.417,97.5375,0.90170,0.8795,3931.25,386901811.5666
12/31/2025,ProShares UltraShort S&P500,SDS,68.503,67.4844,1.50939,1.0186,5260.97,360392296.413
01/02/2013,ProShares UltraPro S&P500,UPRO,3.9533333335,3.6729333335,7.63423,0.2804,112800,445936000.0188
01/02/2014,ProShares UltraPro S&P500,UPRO,7.7983333335,8.0191833335,-2.75402,-0.22085,85200,664418000.0142
12/31/2024,ProShares UltraPro S&P500,UPRO,88.5065,89.6848,-1.31382,-1.1783,47600,4212909400
12/31/2025,ProShares UltraPro S&P500,UPRO,115.7239,118.3732,-2.23809,-2.6493,40450,4681031755
01/02/2013,ProShares UltraPro Short S&P500,SPXU,55808,60432,-7.65158,-4624,7.3,407385424.64
01/02/2014,ProShares UltraPro Short S&P500,SPXU,24816,24144,2.78330,672,17.27,428535530.28
12/31/2024,ProShares UltraPro Short S&P500,SPXU,90.2892,89.0896,1.34651,1.1996,5222.22,471510224.0301
12/31/2025,ProShares UltraPro Short S&P500,SPXU,49.7477,48.6477,2.26116,1.1,8134.22,404658487.5555
01/02/2008,ProShares Ultra QQQ,QLD,1.49703125,1.54938125,-3.37877,-0.05235,576000.06,862290095.81
01/02/2009,ProShares Ultra QQQ,QLD,0.4596875,0.4234375,8.56089,0.03625,3038400.06,1396714529.42
12/31/2024,ProShares Ultra QQQ,QLD,54.10125,55.07185,-1.76242,-0.9706,141500,7655326875
12/31/2025,ProShares Ultra QQQ,QLD,70.3898,71.5997,-1.68981,-1.2099,151900,10692210620
01/02/2008,ProShares UltraShort QQQ,QID,62848,60752,3.45009,2096,19.59,1231428039.28
01/02/2009,ProShares UltraShort QQQ,QID,83568,91488,-8.65687,-7920,9.05,756029302.23
12/31/2024,ProShares UltraShort QQQ,QID,32.6944,32.1135,1.80890,0.5809,7548.9,246806854.2432
12/31/2025,ProShares UltraShort QQQ,QID,20.1979,19.8572,1.71575,0.3407,11498.9,232253692.9037
01/02/2013,ProShares UltraPro QQQ,TQQQ,0.59041666675,0.53854166675,9.63250,0.051875,590400,348582000.0492
01/02/2014,ProShares UltraPro QQQ,TQQQ,1.26229166675,1.29239166675,-2.32902,-0.0301,432000,545310000.036
12/31/2024,ProShares UltraPro QQQ,TQQQ,39.53275,40.61675,-2.66885,-1.084,628200,24834473550
12/31/2025,ProShares UltraPro QQQ,TQQQ,52.6957,54.0748,-2.55036,-1.3791,558250,29417374525
01/02/2013,ProShares UltraPro Short QQQ,SQQQ,1467600,1624000,-9.63054,-156400,0.08,122898695.48352
01/02/2014,ProShares UltraPro Short QQQ,SQQQ,587200,574000,2.29965,13200,0.32,185696876.79744
12/31/2024,ProShares UltraPro Short QQQ,SQQQ,155.7755,151.6865,2.69569,4.089,13543.54,2109751247.9435
12/31/2025,ProShares UltraPro Short QQQ,SQQQ,68.5421,66.8218,2.57446,1.7203,33151.2,2272253071.1463
01/02/2008,ProShares Ultra Russell2000,UWM,14.66,15.155,-3.26625,-0.495,5100,74766058.64
01/02/2009,ProShares Ultra Russell2000,UWM,5.2125,5.0825,2.55780,0.13,63300,329951270.85
12/31/2024,ProShares Ultra Russell2000,UWM,41.8885,41.7735,0.27529,0.115,11450,479623325
12/31/2025,ProShares Ultra Russell2000,UWM,47.0437,47.7316,-1.44118,-0.6879,5100,239922870
01/02/2008,ProShares UltraShort Russell2000,TWM,23168,22425.6,3.31050,742.4,26.95,624450072.4
01/02/2009,ProShares UltraShort Russell2000,TWM,19433.6,19945.6,-2.56698,-512,15.47,300613560.73
12/31/2024,ProShares UltraShort Russell2000,TWM,44.4166,44.5258,-0.24525,-0.1092,1002.73,44537812.9014
12/31/2025,ProShares UltraShort Russell2000,TWM,31.9891,31.5242,1.47474,0.4649,1302.73,41673128.2539
01/02/2013,ProShares UltraPro Russell2000,URTY,19.4625,17.87,8.91158,1.5925,3800,73957500
01/02/2014,ProShares UltraPro Russell2000,URTY,42.91,44.355,-3.25781,-1.445,5000,214550000
12/31/2024,ProShares UltraPro Russell2000,URTY,49.2184,49.0211,0.40248,0.1973,9450,465113880
12/31/2025,ProShares UltraPro Russell2000,URTY,53.1908,54.3712,-2.17100,-1.1804,6900,367016520
01/02/2013,ProShares UltraPro Short Russell2000,SRTY,49040,53968,-9.13134,-4928,1.14,55780915.8
01/02/2014,ProShares UltraPro Short Russell2000,SRTY,17712,17152,3.26493,560,3.11,55017147.24
12/31/2024,ProShares UltraPro Short Russell2000,SRTY,75.1164,75.3976,-0.37296,-0.2812,876.91,65870434.9986
12/31/2025,ProShares UltraPro Short Russell2000,SRTY,42.4297,41.5181,2.19567,0.9116,1839.3,78040989.6397
