symbol,company_name,market,first_trading_date,delisting_date,reason
3K-BAT,THAI ENERGY STORAGE TECHNOLOGY PUBLIC COMPANY LIMITED,SET,05 Oct 2020,13 Dec 2024,The company requests for voluntary delisting
AA,DOUBLE A (1991) PUBLIC COMPANY LIMITED,SET,08 Feb 1995,17 Apr 2008,The company requests for voluntary delisting
ABICO,ABICO HOLDINGS PUBLIC COMPANY LIMITED,mai,27 Apr 1990,04 Jan 2023,The company requests for voluntary delisting
ABPIF,AMATA B. GRIMM POWER POWER PLANT INFRASTRUCTURE FUND,SET,27 Sep 2013,10 Dec 2022,-
ACMG,AYUDHYA CMG LIFE ASSURANCE PUBLIC COMPANY LIMITED,SET,02 Dec 1988,31 Jan 2002,The company requests for voluntary delisting
AFL,ASIAN FOOTWEAR PUBLIC COMPANY LIMITED,SET,18 Dec 1991,05 Jul 1996,SET command de-lists because they fail to submit financial statements
AF-O,AAPICO FORGING PUBLIC COMPANY LIMITED,SET,26 Jan 2005,21 Jun 2007,The company requests for voluntary delisting
AIFT,AIG FINANCE (THAILAND) PUBLIC COMPANY LIMITED,SET,30 Apr 1975,15 Aug 2002,The company requests for voluntary delisting
ALL,ALL INSPIRE DEVELOPMENT PUBLIC COMPANY LIMITED,mai,08 May 2019,03 Sep 2024,SET command de-lists because they violate SET's rule and regulations
APEX,APEX DEVELOPMENT PUBLIC COMPANY LIMITED,SET,20 Nov 1990,19 Oct 2024,SET command de-lists because they violate SET's rule and regulations
APSP,ALCAN PACKAGING STRONGPACK PUBLIC COMPANY LIMITED,SET,16 May 1978,29 Nov 2005,The company requests for voluntary delisting
ASCON,ASCON CONSTRUCTION PUBLIC COMPANY LIMITED,SET,21 Dec 2005,26 Nov 2015,SET command de-lists because they violate SET's rule and regulations
ASSET,ASSET PLUS SECURITIES PUBLIC COMPANY LIMITED,SET,18 Sep 2002,11 May 2004,The company requests for voluntary delisting
ASTL,AMERICAN STANDARD SANITARYWARE(THAILAND) PUBLIC COMPANY LTD.,SET,22 Jan 1988,01 Feb 2005,The company requests for voluntary delisting
ATC,THE AROMATICS (THAILAND) PUBLIC COMPANY LIMITED,SET,25 Jan 1996,28 Dec 2007,Amalgamation
ATEC,ALPHATEC ELECTRONICS PUBLIC COMPANY LIMITED,SET,05 Nov 1993,21 May 1999,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
AYAL,AYUDHYA AUTO LEASE PUBLIC COMPANY LOMITED,SET,09 Aug 1978,12 Jun 2007,-
BANPUU,BANPU PUBLIC COMPANY LIMITED,SET,16 Jun 1989,31 Jul 2026,Amalgamation
BAP,BANGKOK AGRO-INDUSTRIAL PRODUCTS PUBLIC COMPANY LIMITED,SET,25 Dec 1984,20 Dec 1999,The company requests for voluntary delisting
BAT-3K,HITACHI CHEMICAL STORAGE BATTERY (THAILAND) PUBLIC COMPANY LIMITED,SET,10 Feb 1995,01 Oct 2020,Amalgamation
BATA,BATA SHOE OF THAILAND PUBLIC COMPANY LIMITED,SET,08 Apr 1976,24 Aug 2010,The company requests for voluntary delisting
BBC,THE BANGKOK BANK OF COMMERCE PUBLIC COMPANY LIMITED,SET,21 Dec 1987,25 Dec 1998,Amalgamation
