issuer,cik,tickers,exchanges,listed_status,vehicle,launch_date,expiration,offer_type,offer_price,range_low,range_high,nav_pct,final_price,premium_price_used,premium_flag,pre_close,pre_close_date,post_close,post_close_date,pre_close_split_factor,doc_ref_price,doc_ref_quote,gross_premium,yf_premium,yf_doc_price_ratio,premium_basis,tendered_class,completed,proration,odd_lot_priority,odd_lot_clause,odd_lot_clause_2,odd_lot_priority_basis,launch_accession,clause_doc_accession,clause_doc_url,doc_sha256,completion_doc,completion_date,n_hit_filings,n_filings_in_offer,orphan_amendment,listed_basis,price_note,completion_source,doc_bytes,launch_primary_doc
CUMMINS INC,0000026172,CMI,NYSE,listed,operating_company,2024-02-14,2024-03-13,split_off_exchange_offer,,,,,,,,254.5,2024-02-13,263.5799865722656,2024-03-14,1.0,,,,,,,common_or_unspecified,yes,proration factor of 6,yes,"Shareholders who own fewer than 100 shares of Cummins Common Stock, or an ""odd lot,"" who have validly tendered all of their shares, will not be subject to proration, in accordance with the terms of the Exchange Offer.","Based on a preliminary count by the exchange agent, Broadridge Corporate Issuer Solutions, LLC, 69,142,112 shares of Cummins Common Stock were validly tendered and not properly withdrawn, including 36,902,099 shares of Cummins Common Stock that were validly tendered by notice of guaranteed delivery and 1,006,609 shares that tendered in aggregate by ""odd-lot"" shareholders (holders of fewer than 100 shares) not subject to proration.","odd-lot -> no-proration/priority: 'odd lot,"" who have validly tendered all of their shares, will not be subject to prorat' (<100-share threshold stated in the document)",0001104659-24-023079,0001104659-24-023079,https://www.sec.gov/Archives/edgar/data/26172/000110465924034360/tm245866-6_sctoia.htm,df924fd4f92560a9ef3d23c2c0ebec349d467a2e40ecb55562418fd35821b3eb,https://www.sec.gov/Archives/edgar/data/26172/000110465924035612/tm245866-7_sctoia.htm,2024-03-18,2,5,False,submissions index: ['CMI'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001104659-24-035612,29608,tm245866-1_sctoi.htm
ECOLAB INC.,0000031462,ECL,NYSE,listed,operating_company,2020-05-01,,split_off_exchange_offer,,,,,,,,193.5,2020-04-30,209.0500030517578,2020-06-01,1.0,,,,,,,warrants,yes,proration factor,mentioned_no_priority_language,"ommon stock validly tendered and not properly withdrawn (rounded to the nearest whole number of shares of Ecolab common stock), and subject to any adjustment necessary to ensure the exchange of all shares of ChampionX common stock being offered by Ecolab in the exchange offer, except for tenders of odd lots, as described below.",,"phrase present, no grant and no denial matched",0001193125-20-129677,0001193125-20-129677,https://www.sec.gov/Archives/edgar/data/31462/000119312520129677/d914784dex99a1iii.htm,3a92ba993cdd1d50bf084f59b0de780e11c087a51b0956a7502d0af0709607a6,https://www.sec.gov/Archives/edgar/data/31462/000119312520162264/d914784dsctoia.htm,2020-06-05,4,5,False,submissions index: ['ECL'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-20-162264,61282,d914784dsctoi.htm
IMPERIAL OIL LTD,0000049938,IMO,NYSE,listed,operating_company,2022-05-06,,dutch_auction,,62.0,78.0,,,70.0,range_midpoint,52.5099983215332,2022-05-05,55.75,2022-06-06,1.0,64.12,closing price of the Shares on the TSX was $64.12,0.09170305676855883,0.3330794560565531,0.8189332239789956,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,Odd Lot Holder means a Shareholder who owns fewer than 100 Shares.,"Shareholders owning an aggregate of fewer than 100 Shares whose Shares are purchased pursuant to the Offer not only will avoid the payment of brokerage commissions, but will also avoid any odd lot discounts, each of which may be applicable on a sale of their Shares in a transaction on the TSX or NYSE American.",odd-lot -> no-proration/priority: 'Odd Lots will be accepted for purchase before any prorat' (<100-share threshold stated in the document),0001193125-22-143506,0001193125-22-143506,https://www.sec.gov/Archives/edgar/data/49938/000119312522143506/d228787dex99a1i.htm,16c49d254b2d709c6c1cb0438fac3dd18c4e2ac4a4d904449533abebd537e9c8,https://www.sec.gov/Archives/edgar/data/49938/000119312522174330/d378704dsctoia.htm,2022-06-15,7,5,False,submissions index: ['IMO'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-22-174330,523583,d228787dsctoi.htm
IMPERIAL OIL LTD,0000049938,IMO,NYSE,listed,operating_company,2022-11-04,2022-06-10,dutch_auction,,72.5,87.0,,,79.75,range_midpoint,56.470001220703125,2022-11-03,53.38999938964844,2022-12-05,1.0,67.47,closing price of the Shares on the TSX was $67.47,0.18200681784496808,0.41225426378708696,0.8369645949415018,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,Odd Lot Holder means a Shareholder who owns fewer than 100 Shares.,"Shareholders owning an aggregate of fewer than 100 Shares whose Shares are purchased pursuant to the Offer not only will avoid the payment of brokerage commissions, but will also avoid any odd lot discounts, each of which may be applicable on a sale of their Shares in a transaction on the TSX or NYSE American.",odd-lot -> no-proration/priority: 'Odd Lots will be accepted for purchase before any prorat' (<100-share threshold stated in the document),0001193125-22-277567,0001193125-22-277567,https://www.sec.gov/Archives/edgar/data/49938/000119312522277567/d370997dex99a1i.htm,1c68f23df1f43eddcbe03328e95d490968406197ca5143a91c6845e2de1ddd31,https://www.sec.gov/Archives/edgar/data/49938/000119312522304386/d343811dsctoia.htm,2022-12-14,7,3,False,submissions index: ['IMO'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001193125-22-304386,546962,d370997dsctoi.htm
IMPERIAL OIL LTD,0000049938,IMO,NYSE,listed,operating_company,2023-11-03,2022-12-09,dutch_auction,,78.5,94.0,,,86.25,range_midpoint,58.560001373291016,2023-11-02,57.04999923706055,2023-12-04,1.0,81.3,closing price of the Shares on the TSX was $81.30,0.06088560885608851,0.47284832611596017,0.720295219843678,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,""" Odd Lot Holder "" means a Shareholder who owns fewer than 100 Shares.","Shareholders owning an aggregate of fewer than 100 Shares whose Shares are purchased pursuant to the Offer not only will avoid the payment of brokerage commissions, but will also avoid any odd lot discounts, each of which may be applicable on a sale of their Shares in a transaction on the TSX or NYSE American.",odd-lot -> no-proration/priority: 'Odd Lots will be accepted for purchase before any prorat' (<100-share threshold stated in the document),0000049938-23-000084,0000049938-23-000084,https://www.sec.gov/Archives/edgar/data/49938/000004993823000084/a1i-imperialxsibcircularxq.htm,50592a08fe051ecafa3dcc6718bf758fb6935b54c15501d1e3dd1b744426841b,https://www.sec.gov/Archives/edgar/data/49938/000004993823000098/sibfinalresultsscto-iaxq42.htm,2023-12-13,7,4,False,submissions index: ['IMO'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0000049938-23-000098,713383,scto-ixq42023.htm
ELI LILLY & Co,0000059478,LLY,NYSE,listed,operating_company,2019-02-08,2019-03-08,split_off_exchange_offer,,,,,,,,117.5,2019-02-07,123.5,2019-03-11,1.0,,,,,,,common_or_unspecified,yes,proration factor of 13,yes,"Shareholders who own fewer than 100 shares of Lilly common stock, or an odd-lot, who have validly tendered all of their shares will not be subject to proration, in accordance with the terms of the Exchange Offer.",,"odd-lot -> no-proration/priority: 'odd-lot, who have validly tendered all of their shares will not be subject to prorat' (<100-share threshold stated in the document)",0001047469-19-000416,0001047469-19-000416,https://www.sec.gov/Archives/edgar/data/59478/000110465919013728/a18-39904_68sctoia.htm,d844dbfa61e5382a5a6393d908062b820f1c2def562189349800216c1a74a707,https://www.sec.gov/Archives/edgar/data/59478/000110465919014488/a18-39904_73sctoia.htm,2019-03-13,2,6,False,submissions index: ['LLY'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001104659-19-014488,107000,a2237677zscto-i.htm
3M CO,0000066740,MMM,NYSE,listed,operating_company,2022-08-04,,split_off_exchange_offer,,,,,,,,143.48999780273436,2022-08-03,116.59999926757813,2022-09-06,1.196,,,,,,,common_or_unspecified,yes,proration factor of approximately 7,yes,"The preliminary results include an estimated 1,115,836 shares of 3M common stock tendered by odd-lot stockholders not subject to proration.",,odd-lot -> no-proration/priority: 'odd-lot stockholders not subject to prorat' (threshold not restated in this document),0001140361-22-028182,0001140361-22-028182,https://www.sec.gov/Archives/edgar/data/66740/000114036122031888/ny20004937x32_sctoia.htm,f983cbfcf9159476348e471bbf66e7a762bd0963a6380862358dca9eac4a0ab7,https://www.sec.gov/Archives/edgar/data/66740/000114036122032385/ny20004937x37_sctoia.htm,2022-09-06,2,5,False,submissions index: ['MMM'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001140361-22-032385,43013,ny20004937x2_sctoi.htm
SAFEGUARD SCIENTIFICS INC,0000086115,,,unknown,operating_company,2021-09-02,2021-10-01,dutch_auction,,7.9,9.0,,7.9,7.9,,,,,,,7.88,closing price of the shares on NYSE was $ 7.88,0.002538071065989911,,,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"2 If I own fewer than 100 shares and I tender all of my shares, will I be subject to proration? If you own beneficially or of record fewer than 100 shares in the aggregate, you properly tender all of these shares at or below the purchase price before the tender offer expires and you complete the section entitled &ldquo;Odd Lots&rdquo; in the letter of transmittal, and, if applicable, the notice of guaranteed delivery, we will purchase all of your shares without subjecting them to the proration procedure.","If, based on the purchase price we determine, more than $35,000,000 in value of shares are properly tendered at or below the purchase price and not properly withdrawn prior to the expiration of the tender offer, we will purchase all shares tendered at or below the purchase price on a pro rata basis, except for lots held by owners of less than 100 shares, or odd lots, which we will purchase on a priority basis as described in the immediately following paragraph, and except for shares that were conditionally tendered and for which the condition was not satisfied.","odd-lot -> no-proration/priority: 'odd lots, which we will purchase on a priority basis' (<100-share threshold stated in the document)",0001104659-21-112235,0001104659-21-112235,https://www.sec.gov/Archives/edgar/data/86115/000110465921112235/tm2126661d3_exa1a.htm,fec17999764f3a85d5ec6528cf254d05f73d866e282ba32189fb83e95177c2c9,https://www.sec.gov/Archives/edgar/data/86115/000110465921123909/tm2129336d1_sctoia.htm,2021-10-07,4,3,False,"no ticker in submissions index, no non-traded language matched",not exchange-listed / no ticker in the submissions index,0001104659-21-123909,454352,tm2126661d3_sctoi.htm
Seneca Foods Corp,0000088948,"SENEA,SENEB,SENEL,SENEM","Nasdaq,Nasdaq,OTC,OTC",listed,operating_company,2021-02-08,,dutch_auction,,40.0,46.0,,,43.0,range_midpoint,41.4900016784668,2021-02-05,57.61000061035156,2021-03-11,1.0,41.49,last reported sale price of the Class A Shares was $41.49,0.03639431188238129,0.03639426995532968,1.0000000404547311,offer price / the price the OFFER DOCUMENT itself states,common_or_unspecified,yes,,yes,"If I own fewer than 100 Class A Shares and I tender all of my Class A Shares, will I be subject to proration? If you own, beneficially or of record, fewer than 100 Class A Shares in the aggregate, you validly tender all of these Class A Shares at or below the Final Purchase Price and do not validly withdraw them before the Expiration Date, and you complete the section entitled ""Odd Lots"" in the Letter of Transmittal and, if applicable, in the Notice of Guaranteed Delivery, we will purchase all of your Class A Shares without subjecting them to the proration procedure.","In what order will you purchase the tendered Class A Shares? We will purchase Class A Shares on the following basis: first, we will purchase all odd lots of less than 100 Class A Shares at the Final Purchase Price from stockholders who validly tender all of their Class A Shares at or below the Final Purchase Price and who do not validly withdraw them before the Expiration Date (tenders of less than all of the Class A Shares owned, beneficially or of record, by such Odd Lot Holder (as defined in Section 1) will not qualify for this preference); second, after purchasing all the odd lots that were validly tendered at or below the Final Purchase Price, subject to the conditional tender provisions described in Section 6 (whereby a holder may specify a minimum number of such holder's Class A Shares that must be purchased",odd-lot -> no-proration/priority: 'odd lots of less than 100 Class A Shares at the Final Purchase Price from stockholders who validly tender all of their Class A Shares at or below the Final Purchase Price and who do not validly withdr' (threshold not restated in this document),0001104659-21-013394,0001104659-21-013394,https://www.sec.gov/Archives/edgar/data/88948/000110465921013394/tm215458d1_ex99a1i.htm,bfdb184fc63645217f6226ca7ee4a4e22d3bda9cf9cd0c1b7b82b4df42c5ba44,https://www.sec.gov/Archives/edgar/data/88948/000143774921005469/senea20210309_sctoia.htm,2021-03-10,6,3,False,"submissions index: ['SENEA', 'SENEB', 'SENEL', 'SENEM'] on ['Nasdaq', 'Nasdaq', 'OTC', 'OTC']; no non-traded language in doc","yfinance Close, dividends unadjusted, split basis restored to the offer date",0001437749-21-005469,463810,tm215458-1_sctoi.htm
JOHNSON & JOHNSON,0000200406,JNJ,NYSE,listed,operating_company,2023-07-24,2023-08-18,split_off_exchange_offer,,,,,,,,170.19000244140625,2023-07-21,167.35000610351562,2023-08-21,1.0,,,,,,,common_or_unspecified,yes,proration factor of 23,yes,"Shareholders who own fewer than 100 shares of J J Common Stock, or an ""odd lot,"" who have validly tendered all of their shares will not be subject to proration, in accordance with the terms of the Exchange Offer.","The estimated preliminary proration factor is subject to change based on the number of tendered shares that satisfy the guaranteed delivery procedures, as well as the number of ""odd-lot"" shares that were validly tendered and are not subject to proration.","odd-lot -> no-proration/priority: 'odd lot,"" who have validly tendered all of their shares will not be subject to prorat' (<100-share threshold stated in the document)",0001628280-23-025393,0001628280-23-025393,https://www.sec.gov/Archives/edgar/data/200406/000162828023030044/jjscto-ia3.htm,921e60b437eb26cbdd3b32a1daeee16e48d9e5b76d0e74529394ce931dff81bd,https://www.sec.gov/Archives/edgar/data/200406/000162828023030300/jjscto-ia4.htm,2023-08-23,2,5,False,submissions index: ['JNJ'] on ['NYSE']; no non-traded language in doc,"yfinance Close, dividends unadjusted, split basis restored to the offer date",0001628280-23-030300,27559,scheduleto.htm
