symbol,union_hours,aligned_hours,hours_missing_spot,hours_missing_perp
BTCUSDT,67422,61393,36,5993
ETHUSDT,67418,59487,32,7899
BNBUSDT,67417,57687,31,9699
DOGEUSDT,62970,54073,20,8877
ADAUSDT,67418,57926,32,9460
SOLUSDT,53328,52491,20,817
XRPUSDT,67418,58526,32,8860
ZECUSDT,65524,57806,32,7686
LINKUSDT,67048,58262,32,8754
UNIUSDT,52443,52395,20,28
NEARUSDT,51793,51746,20,27
AVAXUSDT,52320,52275,20,25
AAVEUSDT,51771,51723,20,28
FILUSDT,51757,51724,20,13
BCHUSDT,59492,58958,32,502
TRXUSDT,67418,58310,32,9076
LTCUSDT,67418,58454,32,8932
XMRUSDT,65668,35435,22451,7782
XLMUSDT,67418,58190,32,9196
DOTUSDT,53143,53043,20,80
CRVUSDT,53234,52803,20,411
HBARUSDT,60914,48083,12,12819
ICPUSDT,46775,34683,1,12091
ETCUSDT,67418,58286,32,9100
ATOMUSDT,64588,57754,32,6802
