symbol,year,n_hours,active_pct_high_tier,active_pct_retail_taker,share_beyond_high_tier,share_above_high_u,share_below_high_l,share_beyond_retail_taker,rho_mean,rho_median,rho_p05,rho_p95,rho_ma7_mean,rho_ma7_median,rho_ma7_p05,rho_ma7_p95
BTCUSDT,2019,2739,0.06936838262139466,0.0014603870025556773,0.008032128514056224,0.00547645125958379,0.002555677254472435,0.0014603870025556773,-0.22289485828095873,-0.26123688773612486,-0.9188287945068363,0.8817729811829954,-0.32054167866945554,-0.30718973818436346,-0.6884755458051546,0.6220769312649383
BTCUSDT,2020,8766,0.2969427332877025,0.07791467031713438,0.018708647045402694,0.015058179329226557,0.003650467716176135,0.003308236367784622,0.14417392134774584,0.055336763297673675,-0.8231202210317314,1.3745285500487612,0.12742592131949013,0.0046363407232877015,-0.695744727356962,1.1227531682681249
BTCUSDT,2021,8747,0.3564650737395679,0.10998056476506231,0.057848405167485996,0.056933805876300446,0.0009145992911855493,0.003658397164742197,0.49356740358925566,0.5153376507671376,-0.7047645125356499,1.8484177702559865,0.5065694204107019,0.5893011094925137,-0.529925530871755,1.6961662156837478
BTCUSDT,2022,8760,0.09189497716894977,0.09189497716894977,0.0007990867579908676,0.00011415525114155251,0.0006849315068493151,0.00022831050228310502,-0.47436439945126846,-0.48444967637140735,-0.7590207008943767,-0.12982989889397678,-0.4734373384495698,-0.4810253080004733,-0.582378169303781,-0.32629861919734776
BTCUSDT,2023,8759,0.08311451078890285,0.04806484758534079,0.0004566731362027629,0.00022833656810138144,0.00022833656810138144,0.00022833656810138144,-0.26161436755158846,-0.4201557386304289,-0.6416707379801907,0.7314084835413771,-0.2744759091434987,-0.4461113316080431,-0.5310136776906905,0.5862409613202987
BTCUSDT,2024,8784,0.1564207650273224,0.0,0.0026183970856102005,0.0023907103825136613,0.00022768670309653916,0.0,-0.0318099633604556,-0.3020119481014366,-0.6386822739447181,0.9675931197672109,-0.018843351507216593,-0.2846546584394078,-0.5579684395503371,0.9507462446366592
BTCUSDT,2025,8760,0.225,0.0,0.00011415525114155251,0.0,0.00011415525114155251,0.0,-0.47275987662959734,-0.4847147265316587,-0.6516077821812783,-0.25922640712230505,-0.47207102393315786,-0.48624371225585633,-0.5484590381303582,-0.28443030120919144
BTCUSDT,2026-partial,6078,0.6895360315893386,0.0,0.0,0.0,0.0,0.0,-0.5143775778992037,-0.5151755329038255,-0.6891299115047914,-0.3503024251513642,-0.5142606981392328,-0.5101503888712922,-0.5942712291056176,-0.4580376618461451
BTCUSDT,All,61393,0.2440017591582102,0.04682944309611845,0.01184174091508804,0.010897007802192432,0.000944733112895607,0.0011239066343068428,-0.14697996324636906,-0.40534882027417063,-0.7049205582987477,1.1297891910704227,-0.15161288057020872,-0.4424418907282805,-0.5814281773206893,1.018545425313072
ETHUSDT,2019,833,0.09963985594237695,0.09723889555822329,0.014405762304921969,0.0,0.014405762304921969,0.006002400960384154,-0.7619611826913977,-0.44043118011419136,-1.2986764735814995,0.07472446123494102,-1.6063145541535495,-0.4537547484410098,-6.259061185975058,-0.2959396685828393
ETHUSDT,2020,8766,0.3868355007985398,0.14077116130504222,0.054186630161989505,0.05201916495550993,0.0021674652064795803,0.004791238877481177,0.4878917439949816,0.4472743003182575,-0.6976060488952551,1.808567902093905,0.47004904197820296,0.4240519152236486,-0.49043950412570336,1.4840784979246902
ETHUSDT,2021,8747,0.36732594032239624,0.23242254487252773,0.09809077397965017,0.09763347433405739,0.00045729964559277465,0.016005487595747114,0.6080761934155656,0.5288223996307789,-0.646855855728183,2.2826988809522675,0.6241780181664409,0.650008937501658,-0.4801017501243867,2.0278373016953566
ETHUSDT,2022,8760,0.11837899543378995,0.003310502283105023,0.004452054794520548,0.00045662100456621003,0.003995433789954338,0.0018264840182648401,-0.5272320949546813,-0.5240711905504619,-0.8752772658109752,-0.1364251685419494,-0.5284087149178651,-0.5171338801710867,-0.6948433718588911,-0.34145820434211266
ETHUSDT,2023,8759,0.1033222970658751,0.05525744948053431,0.000799177988354835,0.0004566731362027629,0.00034250485215207214,0.00022833656810138144,-0.23366066588939455,-0.4145764316140388,-0.6614728732323,0.7620288706987249,-0.2455259769486645,-0.44751474290279214,-0.5292440644674122,0.6076102320672909
ETHUSDT,2024,8784,0.14606102003642987,0.00273224043715847,0.0028460837887067394,0.00273224043715847,0.00011384335154826958,0.00011384335154826958,-0.00999581646665891,-0.32289162927202797,-0.6170947607106834,0.9956004567632244,0.0024818476255572693,-0.3237714149156533,-0.5386069341358344,0.9664602293006039
ETHUSDT,2025,8760,0.13675799086757992,0.0,0.00045662100456621003,0.0,0.00045662100456621003,0.0,-0.4756978321422313,-0.4847425276676903,-0.6662787660705046,-0.25779658578539466,-0.47455473429874606,-0.4957193462321802,-0.5423723622644846,-0.2942402915034557
ETHUSDT,2026-partial,6078,0.0,0.0,0.0,0.0,0.0,0.0,-0.5281165154066431,-0.523355032695455,-0.705227604274622,-0.36908826176831916,-0.52779284366379,-0.526609551335913,-0.5902887381734702,-0.46301665233629546
ETHUSDT,All,59487,0.18676349454502664,0.0653083867063392,0.023870761679022308,0.022559550826230942,0.001311210852791366,0.0034629414830130954,-0.0868930613393656,-0.39728111776318076,-0.7147097256595816,1.3332852111135904,-0.09885472789354999,-0.4366463671051807,-0.5868578179140672,1.2599722441546548
BNBUSDT,2020,7799,0.5440441082190024,0.20746249519169124,0.19823054237722784,0.10244903192717016,0.0957815104500577,0.040646236697012436,0.28565315709498224,0.5312806158150196,-2.570244614285702,2.200176215718493,0.30447842868908337,0.5122269444127798,-1.7812578140317556,1.5973266067276228
BNBUSDT,2021,8747,0.47193323425174344,0.17754658740139476,0.1445066880073168,0.11078083914484967,0.03372584886246713,0.03658397164742197,0.3842524839568723,0.327975239616895,-1.5418532128791298,2.5451259546369163,0.39835793235515327,0.32724467416412306,-0.9846351967612752,2.1789171461347436
BNBUSDT,2022,8760,0.1545662100456621,0.01997716894977169,0.025799086757990867,0.00022831050228310502,0.025570776255707764,0.0019406392694063927,-0.6173991081495643,-0.5988864380495706,-1.4631742755177568,0.2027703525450937,-0.6117688902205779,-0.616264089571473,-1.1162586746793766,-0.07589389791101982
BNBUSDT,2023,8759,0.16405982418084256,0.054686608060280854,0.03927388971343761,0.0013700194086082886,0.03790387030482932,0.004224226509875557,-0.12422611105259972,-0.044568358499825766,-1.6166145715708318,1.0773330239876213,-0.11386464748376991,-0.08239134768365446,-1.2347179115423639,0.7375281150906037
BNBUSDT,2024,8784,0.2599043715846995,0.040300546448087435,0.01901183970856102,0.0015938069216757742,0.017418032786885244,0.0006830601092896175,-0.03416873133579526,0.018339871642144567,-1.4332173632062395,1.0409351425490978,-0.04560543012695956,-0.024074104547088367,-1.0970928221665683,0.8793601866367701
BNBUSDT,2025,8760,0.03344748858447488,0.00011415525114155251,0.0030821917808219177,0.0,0.0030821917808219177,0.00011415525114155251,0.005479666261265688,0.06521903752579744,-0.9528391632668343,0.7773666590142281,-0.004609434602612865,-0.057534916443754885,-0.6995721458609071,0.6181952118984291
BNBUSDT,2026-partial,6078,0.0,0.0,0.0,0.0,0.0,0.0,0.4257112973051372,0.5371820728583985,-0.3506329330215726,0.8130657816085594,0.42636778257385355,0.5511749593015772,-0.13952509858150233,0.6802563830683666
BNBUSDT,All,57687,0.23814724287967826,0.07245999965330144,0.0619550331963874,0.031133530951514207,0.030821502244873195,0.012099779846412537,0.02474889941703171,0.05150275151731831,-1.4688534425994635,1.4524038433899342,0.02865662646946217,-0.010643193610896176,-1.0882542269675057,1.255596644146959
DOGEUSDT,2020,4185,0.5362007168458781,0.21409796893667862,0.28721624850657107,0.1906810035842294,0.0965352449223417,0.05686977299880526,0.37587197786124243,0.4138321995468369,-2.4898392517796926,3.058172790907397,0.3041488843695871,0.12621910827738586,-1.1062111320427512,1.9451321402266322
DOGEUSDT,2021,8747,0.4945695667085858,0.20144049388361723,0.20864296330170345,0.1825768835029153,0.026066079798788156,0.06207842688921916,0.7044354412446102,0.6390503536661379,-1.1670267817043682,3.2946211062435125,0.7247258002531394,0.8725708531951328,-0.627452169934924,2.3309435398864116
DOGEUSDT,2022,8760,0.05958904109589041,0.0018264840182648401,0.0091324200913242,0.00022831050228310502,0.008904109589041096,0.00045662100456621003,-0.5483860272571373,-0.548102918697877,-1.2737526022955732,0.24825429464277862,-0.5451496521689496,-0.5701537881169065,-0.8271297331488325,-0.1706422289400638
DOGEUSDT,2023,8759,0.06610343646534993,0.009133462724055257,0.0004566731362027629,0.00011416828405069072,0.00034250485215207214,0.00022833656810138144,-0.19642973734994046,-0.40525536639512527,-0.9004934210529003,1.008888972658732,-0.21162880805455228,-0.4605598619889222,-0.7054611780871352,0.7502375850930985
DOGEUSDT,2024,8784,0.14537795992714025,0.003301457194899818,0.006830601092896175,0.006489071038251366,0.00034153005464480874,0.0004553734061930783,-0.017542876475657256,-0.2847214245769142,-0.7853511974192833,1.1931422056440424,-0.0034966618233740203,-0.28407271419157,-0.6202091240997449,1.0920154869042176
DOGEUSDT,2025,8760,0.2345890410958904,0.225,0.00045662100456621003,0.00011415525114155251,0.00034246575342465754,0.00022831050228310502,-0.5050007572275347,-0.5160081515882309,-0.7780764833208146,-0.22187483223971088,-0.5040837379248247,-0.5338427541269283,-0.5897780457645913,-0.3699300984281134
DOGEUSDT,2026-partial,6078,0.1294833826916749,0.1294833826916749,0.0,0.0,0.0,0.0,-0.5751884161027687,-0.5915002229332816,-0.8567881030986136,-0.28773519026034267,-0.5758861831054097,-0.5828438082152981,-0.6712244290993655,-0.49191175595254893
DOGEUSDT,All,54073,0.21803857747859376,0.10247258335953248,0.058716919719638265,0.045420080261868216,0.013296839457770052,0.014665359791393117,-0.12693150166724154,-0.43206628962271343,-1.0209348328849712,1.7014412585569716,-0.12878613114570223,-0.49543622497502293,-0.7052687702005709,1.3749737870873844
ADAUSDT,2020,8038,0.46678278178651406,0.19669071908434935,0.1735506344861906,0.1419507340134362,0.03159990047275442,0.028489674048270713,0.5772012964980578,0.5639678675414714,-1.399979088415245,2.4944261993187915,0.5705242599845516,0.6036318784760295,-0.959522826427524,2.0786792522524786
ADAUSDT,2021,8747,0.4227735223505202,0.1624556990968332,0.14702183605807706,0.14382073853892763,0.0032010975191494226,0.030067451697724935,0.6505824687873104,0.5993535999443622,-0.9680630175257403,2.719056373038839,0.6675296064639356,0.8100830980152838,-0.6381962985151789,2.2573265965936997
ADAUSDT,2022,8760,0.11449771689497718,0.002625570776255708,0.014041095890410958,0.0,0.014041095890410958,0.00011415525114155251,-0.6476245534478621,-0.6821013583124796,-1.4254719027988572,0.23290851735437232,-0.6446272106688737,-0.6687679318625783,-0.8971398566079062,-0.31796428449808906
ADAUSDT,2023,8759,0.08163032309624386,0.0012558511245575978,0.0045667313620276285,0.00159835597670967,0.0029683753853179586,0.00022833656810138144,-0.2943449314335493,-0.37745604963821844,-1.2566947207342416,0.9530856251309436,-0.31159294793613135,-0.5316008840793995,-0.8304923258110668,0.8125602129903672
ADAUSDT,2024,8784,0.07877959927140255,0.0006830601092896175,0.005919854280510018,0.005806010928961749,0.00011384335154826958,0.00011384335154826958,-0.029537898682324242,-0.2560205891652728,-0.9845795196723771,1.2802634577740648,-0.014707903010047608,-0.28838787303540236,-0.7109826662520309,1.1134209837481919
ADAUSDT,2025,8760,0.15445205479452054,0.0,0.00045662100456621003,0.00011415525114155251,0.00034246575342465754,0.0,-0.5633862080276323,-0.5707584050039383,-1.0224089635854305,-0.09996987351761226,-0.5618735803390262,-0.5941355046223399,-0.7479631775671699,-0.255643080122119
ADAUSDT,2026-partial,6078,0.12191510365251727,0.0,0.020236920039486673,0.0003290556103981573,0.019907864429088516,0.0,-0.7695523109982318,-0.7906137184115636,-1.508264462810115,0.0,-0.7671906007897542,-0.7675210840166475,-1.0091718158450371,-0.5357413413841419
ADAUSDT,All,57926,0.2063667437765425,0.0525152781134551,0.052187273417808926,0.042588820218899974,0.009598453198908953,0.008562648896868419,-0.13453772912838077,-0.39985394796541285,-1.2731941371555626,1.683259258234427,-0.13233457829552006,-0.5064329358886712,-0.871144792333939,1.4725380651342899
SOLUSDT,2020,2603,0.6304264310411064,0.36995774106799845,0.3933922397233961,0.18056089127929312,0.21283134844410295,0.12946600076834422,-0.13253345318327858,0.04182422367382921,-4.030135532553216,3.183252346738444,-0.03417428503009028,0.10537723565444232,-2.1030397358292268,1.3430700329711527
SOLUSDT,2021,8747,0.4313478907053847,0.21515948325140047,0.1966388476048931,0.16920086886932661,0.02743797873556648,0.054075683091345604,0.4908446086579239,0.596125846679813,-1.1131062234501319,3.0295169194757574,0.4639036216203044,0.6919243354629596,-0.8020648087951793,2.231687367637662
SOLUSDT,2022,8760,0.11175799086757991,0.03675799086757991,0.0386986301369863,0.00011415525114155251,0.03858447488584475,0.013926940639269407,-1.335480102930328,-0.6386702205468608,-1.615074034660461,0.0,-1.3180100524622478,-0.6480310440685513,-1.568093841465099,-0.1596306793380759
SOLUSDT,2023,8759,0.1118849183696769,0.014841876926589793,0.013586025802032196,0.0034250485215207216,0.010160977280511473,0.003653385089622103,-0.2773845049370828,-0.34953315776890204,-1.1760470354853756,1.006582124019012,-0.30576980042942525,-0.4595131336456623,-0.7402890946090654,0.7227385490089027
SOLUSDT,2024,8784,0.16985428051001822,0.12283697632058288,0.005692167577413479,0.00546448087431694,0.00022768670309653916,0.00034153005464480874,-0.025130164139916398,-0.3144744428589019,-0.7246919616675551,1.1546808973959461,-0.009736312126372468,-0.36914258559067836,-0.5657470957839963,1.1324225000134898
SOLUSDT,2025,8760,0.28378995433789955,0.225,0.003424657534246575,0.0,0.003424657534246575,0.0005707762557077625,-0.545115215897122,-0.5484231791710481,-0.8449655425789728,-0.20955806973536603,-0.5450437217960259,-0.5602192833543826,-0.6715796255412146,-0.25729095382195766
SOLUSDT,2026-partial,6078,0.2805199078644291,0.2805199078644291,0.0003290556103981573,0.0,0.0003290556103981573,0.0,-0.617333654258572,-0.6229702504387968,-0.936846872704507,-0.2866754832419665,-0.6167270933439934,-0.6119513170583859,-0.7791783104349139,-0.48853399176876616
SOLUSDT,All,52491,0.2487283534320169,0.15339772532434132,0.06256310605627631,0.038654245489703,0.023908860566573317,0.018517460136023317,-0.36059686366741367,-0.44660458160558636,-1.1936050428317513,1.5363005072192608,-0.3593715202443692,-0.5078339814496081,-0.9027160475499119,1.2447459321035406
XRPUSDT,2020,8638,0.4355174808983561,0.1362583931465617,0.14991896272285252,0.12282935864783515,0.027089604075017364,0.023385042833989348,0.4200302597681965,0.43349168646064695,-1.398170866937223,2.373881294723107,0.4611519735479099,0.4581591524522773,-0.9599066960733484,1.9666370109733395
XRPUSDT,2021,8747,0.43592088716131244,0.18829312907282497,0.1752600891734309,0.17068709271750315,0.004572996455927746,0.040699668457756945,0.8622412812570659,0.8160983789825355,-0.7799708306422874,3.032412456946064,0.8557146275090476,0.9108811965654678,-0.46862301632860764,2.5888759068731613
XRPUSDT,2022,8760,0.13207762557077626,0.014041095890410958,0.004223744292237443,0.00011415525114155251,0.00410958904109589,0.001141552511415525,-0.664630835648826,-0.6480248699326702,-1.307470493246651,0.0,-0.6595481611316838,-0.6803276830297393,-0.9002302622366036,-0.1943840604449741
XRPUSDT,2023,8759,0.0800319671195342,0.0021691973969631237,0.0019408608288617422,0.000799177988354835,0.0011416828405069071,0.00022833656810138144,-0.3207582335787844,-0.45748903279708375,-1.082122834590167,0.9678297129425966,-0.3381349201578268,-0.5433797198090321,-0.7419757034367251,0.777804750070712
XRPUSDT,2024,8784,0.16347905282331512,0.00034153005464480874,0.006944444444444444,0.006830601092896175,0.00011384335154826958,0.00011384335154826958,-0.02227381373281865,-0.2169605706361255,-0.9087136929460549,1.2368023339729393,-0.00746758660823897,-0.2993597419359011,-0.6774000927253596,1.1230055664109972
XRPUSDT,2025,8760,0.002511415525114155,0.0,0.00034246575342465754,0.00034246575342465754,0.0,0.0,-0.4892143921700288,-0.5119693297146938,-0.8176831603934064,-0.0722479018903484,-0.48788307779958084,-0.5149855511926541,-0.6499338646013536,-0.20563896899289083
XRPUSDT,2026-partial,6078,0.7686739058900954,0.0,0.00016452780519907864,0.0,0.00016452780519907864,0.0,-0.5938711672291174,-0.5947139138196389,-0.8594210018022552,-0.32568771986546596,-0.5943687715053111,-0.5885857978098561,-0.6978159827520126,-0.5126385514574886
XRPUSDT,All,58526,0.26591600314390185,0.050729590267573385,0.050353688958753376,0.04485186071147866,0.005501828247274716,0.00975634760619212,-0.09486658624925948,-0.41777947348337285,-1.0582266247886452,1.7046313069085488,-0.08924278950121056,-0.4878931202061233,-0.8093594008144862,1.6237531094047655
ZECUSDT,2020,7918,0.5346046981561,0.17491790856276837,0.21141702450113664,0.19348320282899722,0.01793382167213943,0.030436979035109876,0.9806506887101963,0.9711753572844695,-0.8502874279923212,2.778916586716469,1.0039132148670293,0.935173994013859,-0.7141462700128175,2.4129008581298437
ZECUSDT,2021,8747,0.5110323539499257,0.1880644792500286,0.20841431347890704,0.20681376471933235,0.0016005487595747113,0.03509774779924545,0.8542648156738079,0.8344764517607678,-0.9099976387929845,2.9729834112582223,0.8687555043525607,0.9911509158423598,-0.625184002299642,2.6515410826812036
ZECUSDT,2022,8760,0.3470319634703196,0.039155251141552515,0.1386986301369863,0.006506849315068493,0.13219178082191782,0.008105022831050229,-0.7032145297137218,-0.68299952798836,-2.404441966439597,0.8824122709863624,-0.7013013794059711,-0.7423525129262132,-1.119750576006034,-0.2412066572167132
ZECUSDT,2023,8759,0.40187235985843134,0.028085397876469916,0.17113825779198538,0.08060280853978764,0.09053544925219774,0.010503482132663547,-0.2000382717115592,-0.3735926305016579,-2.2650709439690195,2.059754999985528,-0.22364560063732233,-0.41442684827449316,-1.0675673127916445,1.164641821568969
ZECUSDT,2024,8784,0.43328779599271405,0.0744535519125683,0.12021857923497267,0.07513661202185792,0.045081967213114756,0.004098360655737705,-0.02221543229046696,0.0,-1.7287119877954975,1.9765342960287873,-0.00209827146802379,-0.3251001355100332,-1.0953743261544346,1.6901078156208795
