symbol,bound,year,n_excursions,mean_duration_hours,median_duration_hours,mean_abs_entry_rho
BTCUSDT,high_tier,2019,11,17.272727272727273,4.0,8.668004337952562
BTCUSDT,high_tier,2020,26,103.84615384615384,68.5,2.7463917891940874
BTCUSDT,high_tier,2021,18,168.5,53.0,2.3453708292214253
BTCUSDT,high_tier,2022,2,402.5,402.5,3.4475851843215173
BTCUSDT,high_tier,2023,3,243.0,297.0,8.460743462272134
BTCUSDT,high_tier,2024,5,274.8,138.0,2.611077314051875
BTCUSDT,high_tier,2025,1,6162.0,6162.0,1.9168900591242022
BTCUSDT,retail_taker,2019,3,1.3333333333333333,1.0,26.248373610522254
BTCUSDT,retail_taker,2020,11,63.09090909090909,28.0,4.819648735245115
BTCUSDT,retail_taker,2021,6,160.5,24.0,4.096669461205946
BTCUSDT,retail_taker,2022,2,402.5,402.5,3.4475851843215173
BTCUSDT,retail_taker,2023,1,422.0,422.0,20.725150952157964
ETHUSDT,high_tier,2019,4,20.75,6.0,13.677419758173217
ETHUSDT,high_tier,2020,36,97.25,19.0,3.0289953732746167
ETHUSDT,high_tier,2021,34,91.61764705882354,36.0,2.6960770172404334
ETHUSDT,high_tier,2022,7,148.14285714285714,36.0,3.783752093195853
ETHUSDT,high_tier,2023,5,181.2,91.0,7.5370729526506155
ETHUSDT,high_tier,2024,4,320.75,294.0,4.360009978392063
ETHUSDT,high_tier,2025,1,1198.0,1198.0,1.9223113420695503
ETHUSDT,retail_taker,2019,3,27.0,8.0,49.87444682662937
ETHUSDT,retail_taker,2020,13,103.3076923076923,10.0,5.271152129606358
ETHUSDT,retail_taker,2021,12,161.25,153.0,5.545996039455769
ETHUSDT,retail_taker,2022,2,14.5,14.5,7.982384298704417
ETHUSDT,retail_taker,2023,1,485.0,485.0,28.335741065594043
ETHUSDT,retail_taker,2024,1,24.0,24.0,11.00251298175334
BNBUSDT,high_tier,2020,176,24.414772727272727,13.5,2.5380452882461992
BNBUSDT,high_tier,2021,176,23.25,7.0,2.918445283786143
