symbol,year,n_hours_mine,my_active_pct_r0,paper_active_pct,diff_pp
BTCUSDT,2020,8598,30.27,28.66,1.61
BTCUSDT,2021,8747,35.65,34.43,1.22
BTCUSDT,2022,8760,9.19,9.21,-0.02
BTCUSDT,2023,8759,8.31,7.68,0.63
BTCUSDT,2024,1681,22.13,22.18,-0.05
BTCUSDT,All,36545,20.87,20.06,0.81
ETHUSDT,2020,8598,39.44,37.8,1.64
ETHUSDT,2021,8747,36.73,34.91,1.82
ETHUSDT,2022,8760,11.84,8.23,3.61
ETHUSDT,2023,8759,10.33,10.35,-0.02
ETHUSDT,2024,1681,23.14,20.93,2.21
ETHUSDT,All,36545,24.45,22.68,1.77
BNBUSDT,2020,7799,54.4,55.23,-0.83
BNBUSDT,2021,8747,47.19,48.03,-0.84
BNBUSDT,2022,8760,15.46,16.54,-1.08
BNBUSDT,2023,8759,16.41,18.93,-2.52
BNBUSDT,2024,1681,47.11,53.39,-6.28
BNBUSDT,All,35746,33.44,35.02,-1.58
DOGEUSDT,2020,4185,53.62,60.12,-6.5
DOGEUSDT,2021,8747,49.46,49.19,0.27
DOGEUSDT,2022,8760,5.96,16.92,-10.96
DOGEUSDT,2023,8759,6.61,8.37,-1.76
DOGEUSDT,2024,1681,17.97,12.72,5.25
DOGEUSDT,All,32132,24.81,28.79,-3.98
ADAUSDT,2020,8038,46.68,47.61,-0.93
ADAUSDT,2021,8747,42.28,42.18,0.1
ADAUSDT,2022,8760,11.45,28.52,-17.07
ADAUSDT,2023,8759,8.16,25.24,-17.08
ADAUSDT,2024,1681,15.94,13.2,2.74
ADAUSDT,All,35985,26.22,34.6,-8.38
