,BTCUSDT,ETHUSDT,BNBUSDT,DOGEUSDT,ADAUSDT,SOLUSDT,XRPUSDT,ZECUSDT,LINKUSDT,UNIUSDT,NEARUSDT,AVAXUSDT,AAVEUSDT,FILUSDT,BCHUSDT,TRXUSDT,LTCUSDT,XLMUSDT,DOTUSDT,CRVUSDT,HBARUSDT,ICPUSDT,ETCUSDT,ATOMUSDT
BTCUSDT,1.0,0.9197645147072786,0.2770855947995932,0.8646771647274324,0.7810832195322108,0.8389151104828155,0.8504180473944067,0.10697934778257052,0.6987764529442161,0.8220323684921976,0.7071824613048774,0.7131367502864576,0.8267636433529121,0.6065305258605497,0.5427541511778295,0.5384197729601677,0.8657783804501215,0.7013688723396458,0.6543376116742216,0.39925355388304046,0.6395737133392394,0.6895664523531185,0.6675465521071183,0.6517859674572123
ETHUSDT,0.9197645147072786,1.0,0.2656533922833276,0.884925806548148,0.7967647737889295,0.853707330701136,0.8635646757985852,0.10572393796506971,0.7195139508845383,0.830928754138494,0.73378327544194,0.7380004143542865,0.8365793774780517,0.6281258196943774,0.5506524909806669,0.5610150384838688,0.8790671490940984,0.7131384571139009,0.6722418379484438,0.4145421647706796,0.6654201478705469,0.7115994421840749,0.6905486415449379,0.6740766487876582
BNBUSDT,0.2770855947995932,0.2656533922833276,1.0,0.2791829288497784,0.2420601215731853,0.2578221784088142,0.283800309054108,-0.010206429651402995,0.26818989596698467,0.25644688302347934,0.21738461842548767,0.2664098085456357,0.2544529066848109,0.13253009868195811,0.2669784660062716,0.13858758991019154,0.2477090798903152,0.26670118372836743,0.19955835805531025,0.18543879076288372,0.18825065426112275,0.16962140519183003,0.22369394210459273,0.16509527760707754
DOGEUSDT,0.8646771647274324,0.884925806548148,0.2791829288497784,1.0,0.8018826075002131,0.8476221644526728,0.8535369556823658,0.10968730827288482,0.7216125052446282,0.8138843884209599,0.7218436984679661,0.7407766416949857,0.8199296769824292,0.6318231415953167,0.5582137880692563,0.5272082040881172,0.8601555300116382,0.7080819328068212,0.6769753838258498,0.417022621265808,0.6474479427925603,0.6955366153649252,0.6887394435994092,0.6639030229211044
ADAUSDT,0.7810832195322108,0.7967647737889295,0.2420601215731853,0.8018826075002131,1.0,0.7653087244704386,0.7886328532440336,0.10072134933788614,0.6635298471838963,0.7620045597854044,0.6589850826739064,0.6943466047415628,0.762548524298335,0.613346870238653,0.5345702318953298,0.5027823226307057,0.7961605364894981,0.6635519509618006,0.651765857327423,0.3856178247091093,0.6004890535669585,0.6632641175149988,0.6426429378070071,0.6159801281277487
SOLUSDT,0.8389151104828155,0.853707330701136,0.2578221784088142,0.8476221644526728,0.7653087244704386,1.0,0.8096923768082486,0.10151946258849814,0.6818944970304028,0.7822602350375366,0.6924121542439812,0.7119034633534662,0.7946800292721088,0.6120379743503847,0.5343288338540187,0.5192689238830336,0.821242457385029,0.6796991638525021,0.647529816383709,0.3886459889989733,0.6248742835839992,0.6659049784929901,0.6736876955962576,0.6635061516762176
XRPUSDT,0.8504180473944067,0.8635646757985852,0.283800309054108,0.8535369556823658,0.7886328532440336,0.8096923768082486,1.0,0.10336290967403836,0.702248274592151,0.8031303026384284,0.7023967271765144,0.7202720350346462,0.8132598281273824,0.618807521141398,0.5432484966892495,0.5364436700566023,0.8505540812654078,0.7099292933201308,0.6717085695294301,0.41281835746987594,0.6388057316482423,0.6913054544428345,0.6739946493183762,0.6444319622252815
ZECUSDT,0.10697934778257052,0.10572393796506971,-0.010206429651402995,0.10968730827288482,0.10072134933788614,0.10151946258849814,0.10336290967403836,1.0,0.08421702148858541,0.08728454559463387,0.08069139840334102,0.07278638279200363,0.09524011097824027,0.0849446100722207,0.060012582033688956,0.08815787195804715,0.10713380453914927,0.07905647307997393,0.0817489798555633,0.057478222618182334,0.06867049405089831,0.09171939859087631,0.0853205623257712,0.08007764982881711
LINKUSDT,0.6987764529442161,0.7195139508845383,0.26818989596698467,0.7216125052446282,0.6635298471838963,0.6818944970304028,0.702248274592151,0.08421702148858541,1.0,0.6807822250067966,0.5961347540023777,0.6283951275228538,0.6849842419407417,0.5296882274642859,0.4839879238685974,0.4471744102479766,0.7077338721967366,0.597389729030614,0.5690991623567612,0.3463822056508726,0.5404221612152897,0.5772333517548057,0.5836435139428827,0.5455489706949325
UNIUSDT,0.8220323684921976,0.830928754138494,0.25644688302347934,0.8138843884209599,0.7620045597854044,0.7822602350375366,0.8031303026384284,0.08728454559463387,0.6807822250067966,1.0,0.6759460842146767,0.7041613999951313,0.8038791425124404,0.6102205966623458,0.5593584924366986,0.5234827617361048,0.8268127387361823,0.6756074385240878,0.6561360158631506,0.40142925040098965,0.6193283444383126,0.6785423282017718,0.6665704201626549,0.6326946994197805
NEARUSDT,0.7071824613048774,0.73378327544194,0.21738461842548767,0.7218436984679661,0.6589850826739064,0.6924121542439812,0.7023967271765144,0.08069139840334102,0.5961347540023777,0.6759460842146767,1.0,0.6329633311536353,0.6810614050269508,0.5582490502611985,0.46430729293017675,0.44980370166113975,0.7126738215032634,0.5951030668088172,0.5943368552434963,0.3562315492905765,0.5545985493615968,0.6050239978473518,0.5862271610557648,0.5774998937960635
AVAXUSDT,0.7131367502864576,0.7380004143542865,0.2664098085456357,0.7407766416949857,0.6943466047415628,0.7119034633534662,0.7202720350346462,0.07278638279200363,0.6283951275228538,0.7041613999951313,0.6329633311536353,1.0,0.7104302794139231,0.5560966556867193,0.5197214948195232,0.4532375435103349,0.7302738959174895,0.626151037930488,0.6009058925411872,0.3754585201189928,0.5617287264455003,0.597465884982925,0.6100932242976769,0.5803823717161789
AAVEUSDT,0.8267636433529121,0.8365793774780517,0.2544529066848109,0.8199296769824292,0.762548524298335,0.7946800292721088,0.8132598281273824,0.09524011097824027,0.6849842419407417,0.8038791425124404,0.6810614050269508,0.7104302794139231,1.0,0.6039852889261079,0.5829979936600007,0.5419729995702697,0.8271296062846919,0.6862014606051181,0.6600137329316151,0.3911194619729148,0.6168242834625319,0.6827067677132802,0.658882790900277,0.6312573809749656
FILUSDT,0.6065305258605497,0.6281258196943774,0.13253009868195811,0.6318231415953167,0.613346870238653,0.6120379743503847,0.618807521141398,0.0849446100722207,0.5296882274642859,0.6102205966623458,0.5582490502611985,0.5560966556867193,0.6039852889261079,1.0,0.41595969322865983,0.3982605754921398,0.6361451693492499,0.5149627128214443,0.5687960288304271,0.3128930811975656,0.490763288394816,0.5753669726940815,0.5583971002634358,0.5287789409387573
