,R&D,accruals,asset composition,composite accounting,earnings growth,external financing,investment,investment alt,investment growth,lead lag,leverage,liquidity,long term reversal,momentum,other,payout indicator,profitability,risk,sales growth,short sale constraints,valuation,volatility,volume
R&D,1.0,0.4216058522679838,0.5675882972858588,-0.4517489121478066,-0.15829640262976927,-0.6231197604512844,0.49131843051829444,0.4341363770287635,0.4955318420444934,0.17461981490852393,0.5009820285332527,-0.13941691513114948,0.6294033342803338,-0.4797935395383184,0.4837423047412674,-0.0749539143924095,-0.5575582607097878,0.481380639416163,-0.04049781733841878,-0.02186164642610011,-0.16938282762009393,-0.4678914173225151,-0.13963598919520329
accruals,0.4216058522679838,1.0,-0.14575703285624592,-0.3615642917704854,0.12431297235124582,-0.27642914892154286,0.2636406956184739,0.20671166327747306,0.1534491183169355,-0.06187122455469724,-0.19126338287708883,0.10905306348574723,0.27495940139931313,-0.07030276518036024,0.0032285597193471008,0.02771354512617137,-0.3724984315195114,0.4855583056594353,-0.07913074959125892,-0.24467493638379104,-0.2676772677721613,-0.2698850544854435,-0.3346198140370518
asset composition,0.5675882972858588,-0.14575703285624592,1.0,-0.06663840861748475,-0.18816526613926873,-0.6494540790981376,0.18954922529542031,0.2585145895775993,0.2937247880689094,0.190114132490778,0.7567139595880219,0.11188116158778413,-0.03795662065828689,-0.03800314085355358,0.13392094752173575,0.12846553972699226,-0.5113806931640501,-0.17798178191455968,0.07218499794657672,0.054983743327015194,-0.5723359045500239,-0.20476399301984763,-0.00337891379011763
composite accounting,-0.4517489121478066,-0.3615642917704854,-0.06663840861748475,1.0,0.15703861581023282,0.42031666687385144,-0.28395208521457205,-0.24020152448611656,-0.04238725855070884,0.0964181972319849,-0.042178483669452746,-0.04274219797202611,-0.1997576292244752,0.3883906942668451,-0.30439523117326667,0.11588693203700853,0.4531602181619938,-0.5164733602511793,0.07593286630475626,0.19901099633861127,0.1626472422730315,0.4983205354681838,0.4395979226720525
earnings growth,-0.15829640262976927,0.12431297235124582,-0.18816526613926873,0.15703861581023282,1.0,0.23360782190424195,-0.27838129179510523,-0.133269088319641,-0.09928648407234295,0.17670963636625667,-0.06741183552380857,0.12912952366952685,-0.10437011041093178,0.4412001486788445,-0.02599086939579441,0.19061839915207882,0.1517244672410875,-0.03860131598312607,0.0297925653265612,-0.010161623178311477,-0.12001891641718966,0.33124766730451516,0.19975174380775737
external financing,-0.6231197604512844,-0.27642914892154286,-0.6494540790981376,0.42031666687385144,0.23360782190424195,1.0,-0.16588418155077522,-0.07112474933811676,-0.1435211053003417,-0.12192035929479726,-0.06186016359831617,-0.2655369013159067,-0.17325766772436463,0.4065012652387218,-0.09243684159231597,0.045185736865051854,0.6538177787357394,-0.554843081142786,0.20824990343652405,0.21798291929370175,0.530339405120885,0.507549663934303,0.5479996821069701
investment,0.49131843051829444,0.2636406956184739,0.18954922529542031,-0.28395208521457205,-0.27838129179510523,-0.16588418155077522,1.0,0.6295170406390486,0.6148288192984133,0.182686939883876,0.13701901960937055,-0.25163039521260117,0.6020060722785658,-0.15679349991412975,0.39166376782397816,-0.029655248777676106,-0.3523081650223093,0.10598989640549106,-0.01383803852249045,0.174220883627234,0.23867906036793093,-0.26293864739210626,0.039022049210987474
investment alt,0.4341363770287635,0.20671166327747306,0.2585145895775993,-0.24020152448611656,-0.133269088319641,-0.07112474933811676,0.6295170406390486,1.0,0.490718877425639,0.2532681193215861,0.20095578910993267,-0.05329040810958872,0.4945457148000269,-0.07604022413251828,0.46719079577151257,0.002178039689955959,-0.3117175591024813,0.1434055001368002,0.1925876083010518,0.30092926700996564,0.09797549014340269,-0.17683893149852933,0.25011986510229123
investment growth,0.4955318420444934,0.1534491183169355,0.2937247880689094,-0.04238725855070884,-0.09928648407234295,-0.1435211053003417,0.6148288192984133,0.490718877425639,1.0,0.06699276644898078,0.20260715321428505,0.07643246064665218,0.5318524002246022,-0.16742786363496848,0.33822937957916765,-0.01574276738739175,-0.26640112856692927,0.11310571202056575,0.043530440062314275,0.18344966112896044,0.07514415877648979,-0.26475055367748357,0.10215325431417682
lead lag,0.17461981490852393,-0.06187122455469724,0.190114132490778,0.0964181972319849,0.17670963636625667,-0.12192035929479726,0.182686939883876,0.2532681193215861,0.06699276644898078,1.0,0.3122477561470003,0.3621229966009688,-0.14468961210127412,0.21157645029948804,0.18896454381844693,0.05219199635367446,-0.1244076725415343,-0.24390472351126824,-0.10261053742634661,0.09406766611218091,-0.2827867963712408,0.10907499496951592,0.34750305095718625
leverage,0.5009820285332527,-0.19126338287708883,0.7567139595880219,-0.042178483669452746,-0.06741183552380857,-0.06186016359831617,0.13701901960937055,0.20095578910993267,0.20260715321428505,0.3122477561470003,1.0,0.26019315780816,0.28411821887977107,-0.10070704053047151,0.4665845418282539,0.06607535301880547,-0.07797406794403952,-0.15143689244553646,0.08139418273158641,0.1347626965726392,0.1244564651077099,-0.045953959984581724,0.34300424338048763
liquidity,-0.13941691513114948,0.10905306348574723,0.11188116158778413,-0.04274219797202611,0.12912952366952685,-0.2655369013159067,-0.25163039521260117,-0.05329040810958872,0.07643246064665218,0.3621229966009688,0.26019315780816,1.0,0.3810037601097565,-0.23883863575331318,0.5355673897341339,-0.09212756328832787,-0.3372772533624616,0.4796383968838575,-0.09540138544284887,0.1541901034354923,-0.21446154722575156,0.634437914715882,-0.04516490392924523
long term reversal,0.6294033342803338,0.27495940139931313,-0.03795662065828689,-0.1997576292244752,-0.10437011041093178,-0.17325766772436463,0.6020060722785658,0.4945457148000269,0.5318524002246022,-0.14468961210127412,0.28411821887977107,0.3810037601097565,1.0,-0.26296195435967146,0.5791481292381371,-0.1665721326933072,-0.4585094398721995,0.44702476636132116,0.03938911396567012,0.14742171043698657,0.2726637626541784,-0.4359891271388679,-0.03618946299675926
momentum,-0.4797935395383184,-0.07030276518036024,-0.03800314085355358,0.3883906942668451,0.4412001486788445,0.4065012652387218,-0.15679349991412975,-0.07604022413251828,-0.16742786363496848,0.21157645029948804,-0.10070704053047151,-0.23883863575331318,-0.26296195435967146,1.0,-0.5051510356622627,0.2593062088102705,0.16525004281417216,-0.311187708196857,0.10067713860770724,0.20636646098505187,-0.011876883499001904,0.4160481758609518,0.24321348349952773
other,0.4837423047412674,0.0032285597193471008,0.13392094752173575,-0.30439523117326667,-0.02599086939579441,-0.09243684159231597,0.39166376782397816,0.46719079577151257,0.33822937957916765,0.18896454381844693,0.4665845418282539,0.5355673897341339,0.5791481292381371,-0.5051510356622627,1.0,-0.1881222984955102,-0.11599983991215641,0.37154910802636903,0.006689377189365944,0.15640357824138407,0.10135310903110907,-0.23419611651940547,0.07418577086891784
payout indicator,-0.0749539143924095,0.02771354512617137,0.12846553972699226,0.11588693203700853,0.19061839915207882,0.045185736865051854,-0.029655248777676106,0.002178039689955959,-0.01574276738739175,0.05219199635367446,0.06607535301880547,-0.09212756328832787,-0.1665721326933072,0.2593062088102705,-0.1881222984955102,1.0,0.01750243903140807,-0.16770570969198967,0.048606573031066004,-0.04782354904149092,-0.07668118531156827,0.06024430272151283,0.07403701456441596
profitability,-0.5575582607097878,-0.3724984315195114,-0.5113806931640501,0.4531602181619938,0.1517244672410875,0.6538177787357394,-0.3523081650223093,-0.3117175591024813,-0.26640112856692927,-0.1244076725415343,-0.07797406794403952,-0.3372772533624616,-0.4585094398721995,0.16525004281417216,-0.11599983991215641,0.01750243903140807,1.0,-0.688689543933701,0.11302250037669354,0.057387425054260324,0.484291003827247,0.5963562908472928,0.516850220041717
risk,0.481380639416163,0.4855583056594353,-0.17798178191455968,-0.5164733602511793,-0.03860131598312607,-0.554843081142786,0.10598989640549106,0.1434055001368002,0.11310571202056575,-0.24390472351126824,-0.15143689244553646,0.4796383968838575,0.44702476636132116,-0.311187708196857,0.37154910802636903,-0.16770570969198967,-0.688689543933701,1.0,-0.2108936787066413,-0.33160488770665464,-0.41710257169098053,-0.6789118245911988,-0.6850535836233387
sales growth,-0.04049781733841878,-0.07913074959125892,0.07218499794657672,0.07593286630475626,0.0297925653265612,0.20824990343652405,-0.01383803852249045,0.1925876083010518,0.043530440062314275,-0.10261053742634661,0.08139418273158641,-0.09540138544284887,0.03938911396567012,0.10067713860770724,0.006689377189365944,0.048606573031066004,0.11302250037669354,-0.2108936787066413,1.0,0.17521474240881893,0.13458773423214093,-0.026379564859874905,0.2538885191679081
short sale constraints,-0.02186164642610011,-0.24467493638379104,0.054983743327015194,0.19901099633861127,-0.010161623178311477,0.21798291929370175,0.174220883627234,0.30092926700996564,0.18344966112896044,0.09406766611218091,0.1347626965726392,0.1541901034354923,0.14742171043698657,0.20636646098505187,0.15640357824138407,-0.04782354904149092,0.057387425054260324,-0.33160488770665464,0.17521474240881893,1.0,0.2649517129412858,0.229541412243153,0.444551633395105
valuation,-0.16938282762009393,-0.2676772677721613,-0.5723359045500239,0.1626472422730315,-0.12001891641718966,0.530339405120885,0.23867906036793093,0.09797549014340269,0.07514415877648979,-0.2827867963712408,0.1244564651077099,-0.21446154722575156,0.2726637626541784,-0.011876883499001904,0.10135310903110907,-0.07668118531156827,0.484291003827247,-0.41710257169098053,0.13458773423214093,0.2649517129412858,1.0,0.09590958167475577,0.4279668702306992
volatility,-0.4678914173225151,-0.2698850544854435,-0.20476399301984763,0.4983205354681838,0.33124766730451516,0.507549663934303,-0.26293864739210626,-0.17683893149852933,-0.26475055367748357,0.10907499496951592,-0.045953959984581724,0.634437914715882,-0.4359891271388679,0.4160481758609518,-0.23419611651940547,0.06024430272151283,0.5963562908472928,-0.6789118245911988,-0.026379564859874905,0.229541412243153,0.09590958167475577,1.0,0.6119827277762175
volume,-0.13963598919520329,-0.3346198140370518,-0.00337891379011763,0.4395979226720525,0.19975174380775737,0.5479996821069701,0.039022049210987474,0.25011986510229123,0.10215325431417682,0.34750305095718625,0.34300424338048763,-0.04516490392924523,-0.03618946299675926,0.24321348349952773,0.07418577086891784,0.07403701456441596,0.516850220041717,-0.6850535836233387,0.2538885191679081,0.444551633395105,0.4279668702306992,0.6119827277762175,1.0
