acronym,holding_months,n_months,gross_monthly_pct,gross_sharpe,edge_per_trade_pct,edge_over_cost,buildable
NetPayoutYield,12.0,204,1.4935470674234197,0.9162749506912639,17.922564809081038,89.61282404540519,True
XFIN,12.0,216,1.2343492268428462,0.840163103568926,14.812190722114154,74.06095361057076,True
GP,12.0,132,1.0241899485981474,0.800014473983011,12.290279383177769,61.45139691588884,True
NetEquityFinance,12.0,216,1.0197717461498654,0.7228652201512675,12.237260953798385,61.186304768991924,True
OperProfRD,12.0,96,0.9756887727587077,0.5880770117002864,11.708265273104493,58.54132636552246,True
cfp,12.0,240,0.9325587488734679,0.672916220245066,11.190704986481615,55.95352493240807,True
AccrualsBM,12.0,240,0.8965328529637516,0.5734194232913294,10.758394235565019,53.79197117782509,True
SP,12.0,336,0.8830331277187279,0.604856952930589,10.596397532624735,52.981987663123675,True
ShareIss5Y,12.0,216,0.877460876245249,0.7785398658977228,10.529530514942989,52.64765257471494,True
ShareIss1Y,12.0,192,0.8547613638601078,0.6478776387752008,10.257136366321294,51.28568183160647,True
sfe,12.0,276,0.7396532905432246,0.39159527029960584,8.875839486518695,44.37919743259347,False
VolumeTrend,12.0,336,0.6850827826747461,0.960580164917088,8.220993392096954,41.10496696048477,True
AssetGrowth,12.0,192,0.6665266413115017,0.6498629078383028,7.9983196957380205,39.9915984786901,True
IdioVolAHT,36.0,252,0.21982871878744975,0.12172947869784936,7.913833876348191,39.56916938174095,True
OrderBacklogChg,12.0,204,0.6592545159729051,0.6211866250318371,7.911054191674861,39.5552709583743,True
BMdec,12.0,384,0.617564125665052,0.6232201721517565,7.410769507980625,37.053847539903124,True
BM,12.0,528,0.6117616944075415,0.47929715031687825,7.341140332890498,36.705701664452484,True
CBOperProf,12.0,96,0.5679045131635517,0.34599562495756686,6.814854157962621,34.074270789813106,True
Frontier,12.0,180,0.48646468679952415,0.2779857712247651,5.83757624159429,29.187881207971447,True
IO_ShortInterest,1.0,228,5.790645223823447,0.7220527472700254,5.790645223823447,28.953226119117236,True
AM,12.0,384,0.4681645056669595,0.3064163588383219,5.617974068003514,28.08987034001757,True
OperProf,12.0,216,0.45427415373250185,0.5587737111089826,5.451289844790022,27.25644922395011,True
InvGrowth,12.0,144,0.44558078624198594,0.5446972204295119,5.346969434903832,26.734847174519157,True
ChEQ,12.0,168,0.4058739493126214,0.5252570616566923,4.870487391751457,24.352436958757284,True
PctTotAcc,12.0,156,0.3881421112738287,0.7749820620626516,4.657705335285945,23.288526676429722,True
AnalystValue,12.0,312,0.3870490310066111,0.2513138517746459,4.644588372079333,23.222941860396666,False
CF,12.0,360,0.3850356806983065,0.24624768524205576,4.620428168379679,23.102140841898393,True
