acronym,cat_data,cat_economic,buildable,pub_year,sample_end,portfolio_period_m,n_sealed_months,sealed_sharpe_after_haircut,nw_t,authors,long_description
SmileSlope,Options,optionrisk,False,2011,2005,1.0,133,1.1862531042275195,3.482194435485291,Yan,Put volatility minus call volatility
AnnouncementReturn,Price,earnings event,True,1996,1992,1.0,336,1.0139372428989772,5.295154618443387,"Chan, Jegadeesh and Lakonishok",Earnings announcement return
DivYieldST,Accounting,valuation,True,1979,1977,,540,0.9790666348769532,6.422898169104024,Litzenberger and Ramaswamy,Predicted div yield next month
VolumeTrend,Trading,volume,True,1996,1993,12.0,336,0.9372112089016137,4.953546574132787,Haugen and Baker,Volume Trend
NetPayoutYield,Accounting,valuation,True,2007,2003,12.0,204,0.906050131191914,3.3753244072447894,Boudoukh et al.,Net Payout Yield
EarningsStreak,Accounting,earnings growth,True,2012,2009,1.0,144,0.8726229117803252,2.454209997689317,Loh and Warachka,Earnings surprise streak
dCPVolSpread,Options,informed trading,False,2014,2011,1.0,97,0.8492717614701247,2.7362323303718994,"An, Ang, Bali, Cakici",Change in put vol minus change in call vol
XFIN,Accounting,external financing,True,2006,2000,12.0,216,0.8288188923130638,2.882985131784821,"Bradshaw, Richardson, Sloan",Net external financing
GP,Accounting,profitability,True,2013,2010,12.0,132,0.7869958199875935,2.8696513394138976,Novy-Marx,gross profits / total assets
ShareIss5Y,Accounting,external financing,True,2006,2003,12.0,216,0.7637521246058797,2.929889542390964,Daniel and Titman,Share issuance (5 year)
PctTotAcc,Accounting,accruals,True,2011,2008,12.0,156,0.7417046429785579,2.1349546035618796,"Hafzalla, Lundholm, Van Winkle",Percent Total Accruals
NetEquityFinance,Accounting,external financing,True,2006,2000,12.0,216,0.7110510531921671,2.585805328304536,"Bradshaw, Richardson, Sloan",Net equity financing
IO_ShortInterest,13F,ownership,True,2005,2002,1.0,228,0.6971141534048924,3.1152191705435,Asquith Pathak and Ritter,Inst own among high short interest
Tax,Accounting,other,True,2004,2000,12.0,240,0.6811372117615068,3.5214258954618525,Lev and Nissim,Taxable income to income
cfp,Accounting,valuation,True,2004,1997,12.0,240,0.6608898783647654,2.4396511353121566,"Desai, Rajgopal, Venkatachalam",Operating Cash flows to price
roaq,Accounting,profitability,True,2010,2005,1.0,168,0.6607356159638028,2.3048652789916773,"Balakrishnan, Bartov and Faurel",Return on assets (qtrly)
ShortInterest,Trading,short sale constraints,True,2001,1993,1.0,276,0.6607052811582811,4.245379365921272,Dechow et al.,Short Interest
AnalystRevision,Analyst,earnings forecast,False,1984,1980,1.0,480,0.6604504890188352,3.7245939499991394,"Hawkins, Chamberlin, Daniel",EPS forecast revision
ChTax,Accounting,other,True,2011,2006,3.0,156,0.6432275777952907,2.2424247608173897,Thomas and Zhang,Change in Taxes
ShareIss1Y,Accounting,external financing,True,2008,2003,12.0,192,0.6352449191615184,2.133455892375503,Pontiff and Woodgate,Share issuance (1 year)
AssetGrowth,Accounting,investment,True,2008,2003,12.0,192,0.6336129220272934,2.244801926847065,"Cooper, Gulen and Schill",Asset growth
STreversal,Price,short-term reversal,True,1990,1987,1.0,408,0.6267057751187918,4.050405149401073,Jegadeesh,Short term reversal
BMdec,Accounting,valuation,True,1992,1990,12.0,384,0.6064008615125412,2.9396657997936475,Fama and French,Book to market using December ME
OrderBacklogChg,Accounting,accruals,True,2007,1999,12.0,204,0.6054823557908162,2.507074377141936,Baik and Ahn,Change in order backlog
NetDebtFinance,Accounting,external financing,True,2006,2000,12.0,216,0.6054581861383007,2.2961926189252395,"Bradshaw, Richardson, Sloan",Net debt financing
SP,Accounting,valuation,True,1996,1991,12.0,336,0.5934406777093486,2.4817522100286156,"Barbee, Mukherji and Raines",Sales-to-price
OperProfRD,Accounting,profitability,True,2016,2014,12.0,96,0.578031509689819,1.8082222242616302,Ball et al.,Operating profitability R&D adjusted
RIO_Volatility,13F,short sale constraints,True,2005,2003,1.0,228,0.5687266426621621,2.53630656252352,Nagel,Inst Own and Idio Vol
AccrualsBM,Accounting,valuation,True,2004,1998,12.0,240,0.5627594788658737,2.0008527450071236,Bartov and Kim,Book-to-market and accruals
dVolCall,Options,informed trading,False,2014,2011,1.0,97,0.5621451181827102,1.9311907389776455,"An, Ang, Bali, Cakici",Change in call vol
OperProf,Accounting,profitability,True,2006,2003,12.0,216,0.5382731056736277,2.2450528054566186,Fama and French,operating profits / book equity
InvGrowth,Accounting,profitability,True,2012,2009,12.0,144,0.5243231664140223,1.923167474886524,Belo and Lin,Inventory Growth
ExchSwitch,Event,other,True,1995,1990,1.0,348,0.5199678875333065,2.842094759859029,Dharan and Ikenberry,Exchange Switch
EarningsConsistency,Accounting,earnings growth,True,2009,2002,12.0,180,0.514096909020482,1.7420209561219113,Alwathainani,Earnings consistency
CPVolSpread,Options,optionrisk,False,2009,2004,1.0,157,0.5099345456817488,1.9578038489079823,Bali and Hovakimian,Call minus Put Vol
CompositeDebtIssuance,Accounting,external financing,True,2008,2005,12.0,192,0.5044275465772486,1.8839045953692046,"Lyandres, Sun and Zhang",Composite debt issuance
ChEQ,Accounting,investment,True,2010,2007,12.0,168,0.5036880883935131,1.5531940650745129,Lockwood and Prombutr,Growth in book equity
RDIPO,Event,R&D,True,2006,1995,1.0,216,0.4843701035815987,2.0290487628911507,"Gou, Lev and Shi",IPO and no R&D spending
OScore,Accounting,default risk,True,1998,1995,1.0,312,0.46951324203660166,2.3905492642705064,Dichev,O Score
BM,Accounting,valuation,True,1980,1976,12.0,528,0.4662393111098144,2.691151485289099,Stattman,"Book to market, original (Stattman 1980)"
FirmAgeMom,Price,momentum,True,2006,2001,1.0,216,0.45731104048922044,1.8965466829422395,Zhang,Firm Age - Momentum
ChInv,Accounting,investment alt,True,2002,1997,12.0,264,0.4226211241004003,1.767176717964607,Thomas and Zhang,Inventory Growth
DivOmit,Event,payout indicator,True,1995,1988,1.0,347,0.41978045283886856,1.9365149566371387,"Michaely, Thaler and Womack",Dividend Omission
DelFINL,Accounting,external financing,True,2005,2001,12.0,228,0.41942259610773247,1.7425736765601971,Richardson et al.,Change in financial liabilities
Mom6m,Price,momentum,True,1993,1989,3.0,372,0.39865342997388986,2.663492124150885,Jegadeesh and Titman,Momentum (6 month)
MS,Accounting,composite accounting,True,2005,2001,1.0,228,0.39087316423635315,1.549740073501427,Mohanram,Mohanram G-score
EarningsSurprise,Accounting,earnings growth,True,1984,1981,1.0,480,0.38554950795952864,2.062177985904356,"Foster, Olsen and Shevlin",Earnings Surprise
EBM,Accounting,valuation,True,2007,2001,12.0,204,0.3853153461578354,1.5018538066749276,"Penman, Richardson and Tuna",Enterprise component of BM
sfe,Analyst,valuation,False,2001,1998,12.0,276,0.3827714228000111,1.5564279726018224,"Elgers, Lo and Pfeiffer",Earnings Forecast to price
REV6,Analyst,earnings forecast,False,1996,1992,1.0,336,0.376564915548172,2.1538826931776023,"Chan, Jegadeesh and Lakonishok",Earnings forecast revisions
IndRetBig,Price,lead lag,True,2007,2001,1.0,204,0.37385725744540155,1.465985846091541,Hou,Industry return of big firms
RoE,Accounting,profitability,True,1996,1993,12.0,336,0.37306585228485134,1.7078568028780146,Haugen and Baker,net income / book equity
MomVol,Price,momentum,True,2000,1995,3.0,288,0.35621402339281655,1.8373905901572167,Lee and Swaminathan,Momentum in high volume stocks
AgeIPO,Event,other,True,1991,1987,1.0,396,0.35248856694183295,1.7014952937058172,Ritter,IPO and age
DelEqu,Accounting,investment,True,2005,2001,12.0,228,0.3396217712129811,1.228249258452029,Richardson et al.,Change in equity to assets
DelLTI,Accounting,investment,True,2005,2001,12.0,228,0.3379312052696466,1.407088403398718,Richardson et al.,Change in long-term investment
