symbol,name,exchange,status,tradable,in_sec_company_tickers
A,Agilent Technologies Inc.,NYSE,active,True,True
AA,Alcoa Corporation,NYSE,active,True,True
AAA,Alternative Access First Priority CLO Bond ETF,ARCA,active,True,False
AAAA,Amplius Aggressive Asset Allocation ETF,BATS,active,True,False
AAAC,Columbia AAA CLO ETF,ARCA,active,True,False
AAAD,PGIM AAA CLO Aggregate Duration ETF,ARCA,active,True,False
AAAP,Pacer Funds Trust Pacer Barings CLO Market Flex ETF,NASDAQ,active,True,False
AAAU,Goldman Sachs Physical Gold ETF Shares,BATS,active,True,True
AABA,,NASDAQ,inactive,False,False
AAC,Ares Acquisition Corporation III,NYSE,active,True,True
AACG,ATA Creativity Global American Depositary Shares,NASDAQ,active,True,True
AACI,Armada Acquisition Corp. III Class A Ordinary Share,NASDAQ,active,True,True
AACIU,Armada Acquisition Corp. III Units,NASDAQ,active,True,True
AACIW,Armada Acquisition Corp. III Warrant,NASDAQ,active,True,True
AACO,Abony Acquisition Corp. I Class A Ordinary Share,NASDAQ,active,True,True
AACOU,Abony Acquisition Corp. I Units,NASDAQ,active,True,True
AACOW,Abony Acquisition Corp. I Warrants,NASDAQ,active,True,True
AACP,Apogee Acquisition Corp Class A Ordinary Shares,NASDAQ,active,True,True
AACPR,Apogee Acquisition Corp Rights,NASDAQ,active,True,True
AACPU,Apogee Acquisition Corp Units,NASDAQ,active,True,True
AACPW,Apogee Acquisition Corp Warrant,NASDAQ,active,True,True
AACQU,Artius Acquisition Inc. Unit,NASDAQ,inactive,False,False
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,active,True,False
AADX,"Applied Aerospace & Defense, Inc.",NYSE,active,True,True
AAEQ,EA Series Trust Alpha Architect US Equity 2 ETF,NASDAQ,active,True,False
AAL,American Airlines Group Inc. Common Stock,NASDAQ,active,True,True
AALG,Themes ETF Trust Leverage Shares 2X Long AAL Daily ETF,NASDAQ,active,True,False
AAME,Atlantic American Corporation Common Stock,NASDAQ,active,True,True
AAMI,Acadian Asset Management Inc.,NYSE,active,True,True
AAOG,Leverage Shares 2X Long AAOI Daily ETF,BATS,active,True,False
AAOI,"Applied Optoelectronics, Inc. Common Stock",NASDAQ,active,True,True
AAON,"AAON, Inc. Common Stock",NASDAQ,active,True,True
AAOX,Tradr 2X Long AAOI Daily ETF,BATS,active,True,False
AAOZ,Tradr 2X Short AAOI Daily ETF,BATS,active,True,False
AAP,ADVANCE AUTO PARTS INC,NYSE,active,True,True
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,NASDAQ,active,True,False
AAPD,Direxion Shares ETF Trust Direxion Daily AAPL Bear 1X ETF,NASDAQ,active,True,False
AAPE,Leverage Shares 2X Long AAPL Daily ETF,BATS,active,True,False
AAPG,Ascentage Pharma Group International American Depository Shares,NASDAQ,active,True,True
AAPL,Apple Inc. Common Stock,NASDAQ,active,True,True
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,BATS,active,True,False
AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X ETF,NASDAQ,active,True,False
AAPW,Roundhill AAPL WeeklyPay ETF,BATS,active,True,False
AAPX,T-Rex 2X Long Apple Daily Target ETF,BATS,active,True,False
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,BATS,active,True,False
AARD,"Aardvark Therapeutics, Inc. Common Stock",NASDAQ,active,True,True
AAT,"AMERICAN ASSETS TRUST, INC.",NYSE,active,True,True
AAUA,Alpha Architect US Equity 3 ETF,BATS,active,True,False
AAUB,EA Series Trust Alpha Architect US Equity 4 ETF,NASDAQ,active,True,False
AAUC,Allied Gold Corporation,NYSE,active,True,True
AAUS,EA Series Trust Alpha Architect US Equity ETF,NASDAQ,active,True,False
AAVM,EA Series Trust Alpha Architect Global Factor Equity ETF,NASDAQ,active,True,False
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,active,True,False
AB,"AllianceBernstein Holding, L.P.",NYSE,active,True,True
ABAT,American Battery Technology Company Common Stock,NASDAQ,active,True,True
ABBV,ABBVIE INC.,NYSE,active,True,True
ABCB,Ameris Bancorp,NYSE,active,True,True
ABCL,AbCellera Biologics Inc. Common Shares,NASDAQ,active,True,True
ABCS,EA Series Trust Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,active,True,False
ABDC,Alcentra Capital Corp. Common Stock,NASDAQ,inactive,False,False
ABEO,Abeona Therapeutics Inc. Common Stock,NASDAQ,active,True,True
ABEQ,Absolute Select Value ETF,ARCA,active,True,False
ABEV,AMBEV S.A.,NYSE,active,True,True
ABFL,Abacus FCF Leaders ETF,BATS,active,True,False
