period,real_gdp_chained_millions
1947-Q1,2182681.0
1947-Q2,2176892.0
1947-Q3,2172432.0
1947-Q4,2206452.0
1948-Q1,2239682.0
1948-Q2,2276690.0
1948-Q3,2289770.0
1948-Q4,2292364.0
1949-Q1,2260807.0
1949-Q2,2253128.0
1949-Q3,2276424.0
1949-Q4,2257352.0
1950-Q1,2346104.0
1950-Q2,2417682.0
1950-Q3,2511127.0
1950-Q4,2559214.0
1951-Q1,2593967.0
1951-Q2,2638898.0
1951-Q3,2693259.0
1951-Q4,2699156.0
1952-Q1,2727954.0
1952-Q2,2733800.0
1952-Q3,2753517.0
1952-Q4,2843941.0
1953-Q1,2896811.0
1953-Q2,2919206.0
1953-Q3,2902785.0
1953-Q4,2858845.0
1954-Q1,2845192.0
1954-Q2,2848305.0
1954-Q3,2880482.0
1954-Q4,2936852.0
1955-Q1,3020746.0
1955-Q2,3069910.0
1955-Q3,3111379.0
1955-Q4,3130068.0
1956-Q1,3117922.0
1956-Q2,3143694.0
1956-Q3,3140874.0
1956-Q4,3192570.0
1957-Q1,3213011.0
1957-Q2,3205970.0
1957-Q3,3237386.0
1957-Q4,3203894.0
1958-Q1,3120724.0
1958-Q2,3141224.0
1958-Q3,3213884.0
1958-Q4,3289032.0
1959-Q1,3352129.0
1959-Q2,3427667.0
1959-Q3,3430057.0
1959-Q4,3439832.0
1960-Q1,3517181.0
1960-Q2,3498246.0
1960-Q3,3515385.0
1960-Q4,3470278.0
1961-Q1,3493703.0
1961-Q2,3553021.0
1961-Q3,3621252.0
1961-Q4,3692289.0
1962-Q1,3758147.0
1962-Q2,3792149.0
1962-Q3,3838776.0
1962-Q4,3851421.0
1963-Q1,3893482.0
1963-Q2,3937183.0
1963-Q3,4023755.0
1963-Q4,4050147.0
1964-Q1,4135553.0
1964-Q2,4180592.0
1964-Q3,4245918.0
1964-Q4,4259046.0
1965-Q1,4362111.0
1965-Q2,4417225.0
1965-Q3,4515427.0
1965-Q4,4619458.0
1966-Q1,4731888.0
1966-Q2,4748046.0
1966-Q3,4788254.0
1966-Q4,4827537.0
1967-Q1,4870299.0
1967-Q2,4873287.0
1967-Q3,4919392.0
1967-Q4,4956477.0
1968-Q1,5057553.0
1968-Q2,5142033.0
1968-Q3,5181859.0
1968-Q4,5202212.0
1969-Q1,5283597.0
1969-Q2,5299625.0
1969-Q3,5334600.0
1969-Q4,5308556.0
1970-Q1,5300652.0
1970-Q2,5308164.0
1970-Q3,5357077.0
1970-Q4,5299672.0
1971-Q1,5443619.0
1971-Q2,5473059.0
1971-Q3,5518072.0
1971-Q4,5531032.0
1972-Q1,5632649.0
1972-Q2,5760470.0
1972-Q3,5814854.0
1972-Q4,5912220.0
1973-Q1,6058544.0
1973-Q2,6124506.0
1973-Q3,6092301.0
1973-Q4,6150131.0
1974-Q1,6097258.0
1974-Q2,6111751.0
1974-Q3,6053978.0
1974-Q4,6030464.0
1975-Q1,5957035.0
1975-Q2,5999610.0
1975-Q3,6102326.0
1975-Q4,6184530.0
1976-Q1,6323649.0
1976-Q2,6370025.0
1976-Q3,6404895.0
1976-Q4,6451177.0
1977-Q1,6527703.0
1977-Q2,6654466.0
1977-Q3,6774457.0
1977-Q4,6774592.0
1978-Q1,6796260.0
1978-Q2,7058920.0
1978-Q3,7129915.0
1978-Q4,7225750.0
1979-Q1,7238727.0
1979-Q2,7246454.0
1979-Q3,7300281.0
1979-Q4,7318535.0
1980-Q1,7341557.0
1980-Q2,7190289.0
1980-Q3,7181743.0
1980-Q4,7315677.0
1981-Q1,7459022.0
1981-Q2,7403745.0
1981-Q3,7492405.0
1981-Q4,7410768.0
1982-Q1,7295631.0
1982-Q2,7328912.0
1982-Q3,7300896.0
1982-Q4,7303817.0
1983-Q1,7400066.0
1983-Q2,7568456.0
1983-Q3,7719746.0
1983-Q4,7880794.0
