pattern_id,family,sharpe,n_days,n_form,n_skip,leg,trade_cost,fin_drag,psr0,dsr,dsr_ok,n_trials,fallbacks,hold,weighting
fx_momentum_l63_h126_inverse_vol,fx_momentum,0.15823215197324303,3843,31,0,3.0,0.010440040121947918,0.07393150684931364,0.7324638473373158,0.3397306861364566,True,36,0/62,126,inverse_vol
fx_carry_s1_h126_equal,fx_carry,0.1371750022943433,3843,31,0,3.0,0.0015600000000000002,0.07393150684931364,0.7033696104328409,0.31121581311678825,True,36,0/0,126,equal
fx_carry_s1_h63_equal,fx_carry,0.13425591492145184,3843,61,0,3.0,0.0017333333333333335,0.07393150684931364,0.6994478794354174,0.3071892651364626,True,36,0/0,63,equal
fx_carry_s6_h63_equal,fx_carry,0.13053444010799686,3843,61,0,3.0,0.0013,0.07393150684931364,0.6943828320840078,0.3021188336189162,True,36,0/0,63,equal
fx_carry_s3_h126_equal,fx_carry,0.12415450340693811,3843,31,0,3.0,0.0015600000000000002,0.07393150684931364,0.6856408860593973,0.2934852069410598,True,36,0/0,126,equal
fx_momentum_l63_h126_equal,fx_momentum,0.12345118972431288,3843,31,0,3.0,0.00988,0.07393150684931364,0.685463966006005,0.2916691287964748,True,36,0/0,126,equal
fx_carry_s3_h63_equal,fx_carry,0.11788977612257841,3843,61,0,3.0,0.001906666666666667,0.07393150684931364,0.6769917082610628,0.28507177509867665,True,36,0/0,63,equal
fx_carry_s6_h126_equal,fx_carry,0.1101631071716307,3843,31,0,3.0,0.0013,0.07393150684931364,0.6661003832478982,0.27495240888585515,True,36,0/0,126,equal
fx_carry_s1_h126_inverse_vol,fx_carry,0.10552201160182409,3843,31,0,3.0,0.002574864934314853,0.07393150684931364,0.6595778620808896,0.26884317849729134,True,36,0/62,126,inverse_vol
fx_carry_s1_h63_inverse_vol,fx_carry,0.10416171035738178,3843,61,0,3.0,0.003354924207643687,0.07393150684931364,0.6574762986079372,0.26731007252290784,True,36,0/122,63,inverse_vol
fx_carry_s3_h63_inverse_vol,fx_carry,0.0926943381023716,3843,61,0,3.0,0.0035738056192977487,0.07393150684931364,0.6409818154215217,0.25273791704375903,True,36,0/122,63,inverse_vol
fx_carry_s3_h126_inverse_vol,fx_carry,0.0863047709773454,3843,31,0,3.0,0.0025621273628144803,0.07393150684931364,0.6317530559444171,0.24465177771517083,True,36,0/62,126,inverse_vol
fx_carry_s6_h63_inverse_vol,fx_carry,0.08547431651421795,3843,61,0,3.0,0.002988556743204611,0.07393150684931364,0.6304345253485077,0.24380413936689044,True,36,0/122,63,inverse_vol
fx_carry_s6_h126_inverse_vol,fx_carry,0.07418466767584414,3843,31,0,3.0,0.0023354537690950953,0.07393150684931364,0.613826590141626,0.2300043324626922,True,36,0/62,126,inverse_vol
fx_reversal_l756_h63_inverse_vol,fx_long_run_reversal,0.050797932489347074,3843,61,0,3.0,0.008901205107563977,0.07393150684931364,0.5786224280454033,0.20294178608548713,True,36,0/122,63,inverse_vol
fx_blend_s3_l126_h126_equal,fx_carry_momentum_blend,0.04604570626322734,3843,31,0,3.0,0.006673333333333335,0.07393150684931364,0.57129446767054,0.19792770411203026,True,36,0/0,126,equal
fx_blend_s3_l126_h126_inverse_vol,fx_carry_momentum_blend,0.025537385250363448,3843,31,0,3.0,0.007392724279299841,0.07393150684931364,0.5397036291739229,0.17632973833750076,True,36,0/62,126,inverse_vol
fx_blend_s3_l126_h63_equal,fx_carry_momentum_blend,0.005666409999950715,3843,61,0,3.0,0.01031333333333333,0.07393150684931364,0.5088256811412779,0.15690732632239895,True,36,0/0,63,equal
fx_reversal_l756_h126_inverse_vol,fx_long_run_reversal,0.0011087902382275634,3843,31,0,3.0,0.006101670045672605,0.07393150684931364,0.5017271923078976,0.15266146268209851,True,36,0/62,126,inverse_vol
fx_reversal_l756_h63_equal,fx_long_run_reversal,-0.0031325303226455085,3843,61,0,3.0,0.00754,0.07393150684931364,0.49512055337296956,0.1487915031194874,True,36,0/0,63,equal
fx_blend_s3_l126_h63_inverse_vol,fx_carry_momentum_blend,-0.02142977579656585,3843,61,0,3.0,0.012162494075229839,0.07393150684931364,0.466652004630331,0.13279834176922706,True,36,0/122,63,inverse_vol
fx_momentum_l252_h126_inverse_vol,fx_momentum,-0.045539403039218655,3843,31,0,3.0,0.008524002554056193,0.07393150684931364,0.4294032825079815,0.11356988471275681,True,36,0/62,126,inverse_vol
