,EUR,GBP,JPY,AUD,CHF,CAD,NZD,SEK,NOK
2002-04-01,1.53690476190476,2.30319,-1.77,2.7199999999999998,-0.40935338095238016,0.45500000000000007,3.8099999999999996,2.38,4.8999999999999995
2002-05-01,1.64713636363636,2.3336999999999994,-1.74,3.0199999999999996,-0.6565061000000001,0.6939999999999997,4.01,2.4699999999999998,5.08
2002-06-01,1.654,2.36758,-1.72,3.2600000000000002,-0.6604059500000001,0.8799999999999999,4.15,2.47,5.3100000000000005
2002-07-01,1.62,2.2705399999999996,-1.7,3.1900000000000004,-0.7869384782608699,0.992,4.21,2.4699999999999998,5.46
2002-08-01,1.62190909090909,2.25654,-1.66,3.23,-1.061657952380952,1.1,4.140000000000001,2.4600000000000004,5.529999999999999
2002-09-01,1.5501428571428602,2.22872,-1.68,3.16,-1.147000904761905,1.0450000000000002,4.1000000000000005,2.41,5.390000000000001
2002-10-01,1.53126086956522,2.23401,-1.65,3.1700000000000004,-1.102146260869565,1.0379999999999998,4.15,2.3400000000000003,5.390000000000001
2002-11-01,1.7341428571428603,2.5814200000000005,-1.3099999999999998,3.45,-0.7975021428571429,1.3100000000000003,4.510000000000001,2.5200000000000005,5.7
2002-12-01,1.60105,2.6777699999999998,-1.24,3.49,-0.7966100500000001,1.3375000000000001,4.58,2.33,5.28
2003-01-01,1.5418181818181798,2.69263,-1.19,3.51,-0.781264523809524,1.4260000000000002,4.57,2.36,4.7
2003-02-01,1.41745,2.48425,-1.18,3.48,-0.78076265,1.5425,4.550000000000001,2.34,4.42
2003-03-01,1.29995238095238,2.42503,-1.15,3.53,-0.996806285714286,1.8075,4.58,2.17,4.26
2003-04-01,1.29335,2.4059800000000005,-1.16,3.55,-1.0662191,1.9560000000000002,4.49,2.1799999999999997,4.02
2003-05-01,1.18052380952381,2.4125199999999998,-1.14,3.5600000000000005,-1.0614915,1.9575000000000002,4.16,1.9600000000000002,3.7
2003-06-01,1.11185714285714,2.59966,-0.9500000000000001,3.63,-0.8816053500000001,2.0575,4.19,1.77,3.0
2003-07-01,1.08004347826087,2.44022,-0.9600000000000001,3.67,-0.8864004782608701,1.8619999999999999,4.0600000000000005,1.6300000000000001,2.4000000000000004
2003-08-01,1.0604285714285697,2.44249,-0.9900000000000001,3.74,-0.9291333,1.6974999999999998,4.03,1.63,2.06
2003-09-01,1.0673181818181798,2.6167,-0.9900000000000001,3.83,-0.9412774090909091,1.5524999999999998,4.07,1.63,1.73
2003-10-01,1.0435652173912997,2.70338,-1.01,3.8699999999999997,-0.9708689565217391,1.5179999999999998,4.09,1.63,1.7599999999999998
2003-11-01,1.04905,2.87043,-1.03,4.199999999999999,-0.9671677500000001,1.59,4.26,1.61,1.78
2003-12-01,1.04633333333333,2.9186400000000003,-1.0,4.369999999999999,-0.9631714285714291,1.524,4.220000000000001,1.6,1.54
