,EUR,GBP,JPY,AUD,CHF,CAD,NZD,SEK,NOK,USD
1995-01-01,6.66,6.63778,,8.37,,7.838,9.29,8.02,5.76,6.24
1995-02-01,6.59,6.80391,,8.08,,8.118,9.37,7.9,5.46,6.16
1995-03-01,7.58,6.72554,,8.13,,8.314782609,9.42,8.67,5.39,6.15
1995-04-01,7.29,6.73633,,7.89,,8.148421053,9.23,8.78,5.36,6.11
1995-05-01,7.04,6.77616,,7.7,,7.561363636,9.1,8.77,5.67,6.02
1995-06-01,7.08,6.71484,,7.55,,7.047727273,9.04,9.16,5.79,5.9
1995-07-01,6.92,6.87686,,7.56,,6.666,8.84,9.26,5.62,5.77
1995-08-01,6.66,6.87568,,7.58,,6.586818182,9.03,9.15,5.34,5.77
1995-09-01,6.5,6.79539,,7.49,,6.6875,9.22,8.92,5.36,5.73
1995-10-01,6.75,6.81783,,7.47,,6.697619048,8.69,8.86,5.34,5.79
1995-11-01,6.45,6.72088,,7.46,,6.008095238,8.31,8.84,5.22,5.74
1995-12-01,6.32,6.54985,,7.43,,5.895263158,8.56,8.62,5.43,5.62
1996-01-01,5.81,6.44718,,7.46,,5.546818182,8.61,8.19,5.48,5.39
1996-02-01,5.58,6.24554,,7.47,,5.222857143,8.51,7.66,5.26,5.15
1996-03-01,5.5,6.13988,,7.53,,5.214761905,8.86,7.08,4.92,5.29
1996-04-01,5.27,6.08452,,7.57,,5.008571429,9.22,6.25,4.7,5.36
1996-05-01,5.06,6.11651,,7.55,,4.809090909,9.82,6.19,4.76,5.36
1996-06-01,5.08,5.93477,,7.57,,4.849,10.04,5.79,4.93,5.46
1996-07-01,5.06,5.82167,,7.56,,4.732727273,10.12,5.43,4.99,5.53
1996-08-01,5.08,5.83647,,6.92,,4.267619048,9.87,5.17,5.02,5.4
1996-09-01,4.86,5.86365,,6.91,,4.0785,9.9,4.8,5.09,5.51
1996-10-01,4.69,6.01953,,6.7,,3.516818182,9.61,4.61,5.04,5.41
1996-11-01,4.57,6.38579,,6.45,,3.0195,8.97,4.43,4.39,5.38
1996-12-01,4.5,6.43164,,6.13,,3.1225,8.08,3.88,4.14,5.44
1997-01-01,4.39,6.41491,,5.82,,3.152727273,7.55,3.76,3.52,5.43
1997-02-01,4.43,6.28848,,5.91,,3.116,7.46,3.93,3.52,5.37
1997-03-01,4.5,6.30413,,6.05,,3.2175,7.58,4.13,3.51,5.53
1997-04-01,4.39,6.45437,,6.04,,3.460454545,7.49,4.03,3.5,5.71
1997-05-01,4.3,6.53214,,5.87,,3.321904762,7.02,4.09,3.46,5.7
1997-06-01,4.29,6.66462,,5.35,,3.265238095,6.96,4.05,3.51,5.66
1997-07-01,4.3,7.04144,,5.19,,3.531818182,7.79,4.06,4.0,5.6
1997-08-01,4.36,7.24349,,4.9,,3.638,8.34,4.17,4.04,5.6
1997-09-01,4.31,7.29687,,4.77,,3.626666667,8.06,4.11,3.94,5.6
1997-10-01,4.44,7.35615,,4.83,,3.799545455,7.76,4.23,3.97,5.65
1997-11-01,4.49,7.62617,,4.95,,3.994736842,7.6,4.31,3.95,5.74
1997-12-01,4.37,7.7179,,5.07,,4.567142857,8.3,4.42,3.87,5.8
1998-01-01,4.26,7.5854,,4.99,,4.651904762,8.89,4.41,3.82,5.54
1998-02-01,4.24,7.54395,,4.97,,4.9775,8.95,4.33,3.84,5.54
1998-03-01,4.11,7.56676,,4.96,,4.874090909,9.0,4.48,4.08,5.58
1998-04-01,4.09,7.53533,,4.92,,4.898095238,9.26,4.47,4.15,5.58
1998-05-01,4.06,7.4881,,4.96,,5.02,8.88,4.49,4.47,5.59
1998-06-01,4.02,7.71396,,5.32,,5.016818182,9.15,4.2,4.82,5.6
1998-07-01,3.95,7.80622,,5.17,,5.051363636,7.75,4.11,5.35,5.59
1998-08-01,3.93,7.72824,,5.19,,5.3055,6.79,4.19,6.74,5.58
1998-09-01,3.93,7.46768,,5.03,,5.60047619,5.79,4.19,8.03,5.41
1998-10-01,3.81,7.22061,,4.83,,5.275238095,4.85,4.17,7.92,5.21
1998-11-01,3.69,6.97448,,4.88,,5.147,4.5,3.79,7.96,5.24
1998-12-01,3.37,6.46034,,4.8,,5.002857143,4.38,3.42,8.24,5.14
1999-01-01,3.1321,5.92171,,4.79,,5.0045,4.47,3.27,7.72,4.89
1999-02-01,3.0934,5.53197,,4.77,,5.0335,4.3,3.14,7.27,4.9
1999-03-01,3.04669565217391,5.42287,,4.81,,5.057391304,4.59,3.13,6.88,4.91
1999-04-01,2.69645454545455,5.31773,,4.76,,4.716666667,4.64,2.87,6.55,4.88
1999-05-01,2.57895238095238,5.34875,,4.86,,4.6155,4.67,2.92,6.66,4.92
1999-06-01,2.62668181818182,5.22114,,4.93,,4.815454545,4.74,2.97,6.48,5.13
1999-07-01,2.67645454545455,5.16688,,4.89,0.955,4.792857143,4.72,3.01,6.35,5.24
1999-08-01,2.69504545454545,5.25409,,4.92,0.92453125,4.924761905,4.77,3.0,6.09,5.41
1999-09-01,2.72668181818182,5.4107,,5.01,0.900516,4.83047619,4.94,3.05,5.97,5.5
1999-10-01,3.37566666666667,6.02564,,5.31,1.8848,5.014,5.1,3.23,6.37,6.13
1999-11-01,3.46768181818182,5.8725,,5.44,1.6871356,5.040952381,5.35,3.38,6.15,6.0
1999-12-01,3.44604545454545,6.05531,,5.65,1.74320418181818,5.135238095,5.67,3.41,5.97,6.05
2000-01-01,3.34314285714286,6.13632,,5.66,1.72924735,5.025,5.68,3.57,5.88,5.95
2000-02-01,3.53676190476191,6.23781,,5.8,2.23797919047619,5.0325,5.93,3.9,5.89,6.01
2000-03-01,3.74704347826087,6.22838,,5.89,2.43072330434783,5.108,6.26,4.06,6.0,6.14
2000-04-01,3.92527777777778,6.29647,,6.04,2.8121195,5.35,6.49,3.99,6.23,6.28
2000-05-01,4.36204545454546,6.30356,,6.31,3.01037731818182,5.664,6.77,3.96,6.5,6.71
2000-06-01,4.50172727272727,6.22682,,6.23,3.20290635,5.5525,6.88,3.94,6.72,6.73
2000-07-01,4.58290476190476,6.19247,,6.2,3.29050628571429,5.6,6.83,4.03,6.91,6.67
2000-08-01,4.77708695652174,6.21754,,6.49,3.30846527272727,5.618,6.74,4.0,7.12,6.61
2000-09-01,4.85280952380952,6.20569,,6.57,3.3217070952381,5.5725,6.66,3.94,7.33,6.6
2000-10-01,5.04127272727273,6.16274,,6.41,3.34387236363636,5.5975,6.65,3.99,7.52,6.67
