Round C production screening — completed in 248.0s
Window: 2015-01-07 -> 2026-08-26
n_trials (family size, pre-declared): 30
Tickers requested but unresolved (no price data at all): 143
Specs that produced a usable replay (>= MIN_REPLAY_TRADING_DAYS): 30 / 30

pattern_id                       family                            n_form  n_days   sharpe      dsr     psr0
lps_intraday_l252_h63            overnight_intraday_tug_of_war         47    2924    0.217    0.179    0.768
cgo_ls_decile_l252_h126          disposition_capital_gains_overhang      24    2924    0.190    0.155    0.740
lps_intraday_l63_h63             overnight_intraday_tug_of_war         47    2924    0.145    0.121    0.689
cgo_ls_decile_l504_h126          disposition_capital_gains_overhang      24    2924    0.132    0.113    0.673
cgo_ls_decile_l252_h63           disposition_capital_gains_overhang      47    2924    0.085    0.085    0.614
gh52_long_hedged_decile_h126     disposition_52wk_high                 24    2924    0.072    0.078    0.596
cgo_ls_quintile_l252_h126        disposition_capital_gains_overhang      24    2924    0.066    0.075    0.588
lps_overnight_l252_h63           overnight_intraday_tug_of_war         47    2924    0.058    0.071    0.579
lps_intraday_l252_h21            overnight_intraday_tug_of_war        140    2924    0.045    0.065    0.561
lps_overnight_l252_h21           overnight_intraday_tug_of_war        140    2924    0.040    0.063    0.554
cgo_ls_decile_l504_h63           disposition_capital_gains_overhang      47    2924    0.039    0.062    0.552
gh52_ls_decile_h126              disposition_52wk_high                 24    2924    0.011    0.051    0.514
lps_intraday_l21_h63             overnight_intraday_tug_of_war         47    2924   -0.031    0.038    0.458
cgo_ls_quintile_l252_h63         disposition_capital_gains_overhang      47    2924   -0.032    0.038    0.457
gh52_ls_quintile_h126            disposition_52wk_high                 24    2924   -0.036    0.036    0.451
gh52_long_hedged_decile_h63      disposition_52wk_high                 47    2924   -0.054    0.032    0.427
cgo_ls_decile_l252_h21           disposition_capital_gains_overhang     140    2924   -0.060    0.030    0.419
gh52_ls_decile_h63               disposition_52wk_high                 47    2924   -0.062    0.030    0.416
gh52_ls_quintile_h63             disposition_52wk_high                 47    2924   -0.070    0.028    0.406
cgo_ls_decile_l504_h21           disposition_capital_gains_overhang     140    2924   -0.098    0.022    0.368
cgo_ls_quintile_l252_h21         disposition_capital_gains_overhang     140    2924   -0.134    0.016    0.324
lps_intraday_l63_h21             overnight_intraday_tug_of_war        140    2924   -0.151    0.014    0.303
lps_intraday_l21_h21             overnight_intraday_tug_of_war        140    2924   -0.151    0.014    0.304
gh52_ls_quintile_h21             disposition_52wk_high                140    2924   -0.212    0.008    0.233
gh52_ls_decile_h21               disposition_52wk_high                140    2924   -0.304    0.003    0.148
lps_overnight_l63_h21            overnight_intraday_tug_of_war        140    2924   -0.380    0.001    0.096
gh52_long_hedged_decile_h21      disposition_52wk_high                140    2924   -0.395    0.001    0.087
lps_overnight_l63_h63            overnight_intraday_tug_of_war         47    2924   -0.401    0.001    0.085
lps_overnight_l21_h63            overnight_intraday_tug_of_war         47    2924   -0.408    0.001    0.081
lps_overnight_l21_h21            overnight_intraday_tug_of_war        140    2924   -0.938    0.000    0.001

Missing tickers (no price data resolved at all):
AABA, ABC, ABMD, ADS, AGN, ALTR, ALXN, ANSS, ANTM, ARG, ARNC, ATVI, AVP, BCR, BHGE, BK, BLL, BRCM, BXLT, CA, CBS, CCE, CDAY, CELG, CERN, CFN, CHK, CMA, CMCSK, COG, COV, CPGX, CTL, CTLT, CTRA, CTXS, CVC, CXO, DAY, DFS, DISCA, DISCK, DISH, DNB, DNR, DO, DRE, DTV, DWDP, ENDP, ESV, ETFC, FBHS, FDO, FI, FL, FLIR, FLT, FRC, FTR, GAS, GGP, GMCR, GPS, HAR, HBI, HCBK, HCP, HES, HFC, HOLX, HRS, HSP, IPG, JEC, JNPR, JOY, JWN, K, KORS, KRFT, KSU, LLL, LLTC, LM, LO, LVLT, MJN, MMC, MNK, MON, MRO, MWV, MXIM, MYL, NBL, NLOK, NLSN, PBCT, PCP, PDCO, PEAK, PETM, PKI, PLL, PX, PXD, QEP, RAI, RE, RHT, RTN, SATS, SEE, SIAL, SIVB, SNI, SRCL, STJ, SWN, SWY, SYMC, TEG, TGNA, TIF, TMK, TSS, TWC, TWTR, UTX, VAR, VIAB, VIAC, WBA, WCG, WFM, WIN, WLTW, WRK, WYND, XEC, XL, XLNX
