Starting Round C (magnitude-weighted) screening: 2015-01-07 -> 2026-08-26
$BRCM: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$FBHS: possibly delisted; no timezone found
$SIAL: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$AGN: possibly delisted; no timezone found
$CHK: possibly delisted; no timezone found
$NBL: possibly delisted; no timezone found
$PCP: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$TWC: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$LLL: possibly delisted; no timezone found
$SIVB: possibly delisted; no timezone found
$ETFC: possibly delisted; no timezone found
$TIF: possibly delisted; no timezone found
$HBI: possibly delisted; no timezone found
$ALTR: possibly delisted; no timezone found
$SATS: No data found, symbol may be delisted
$FLT: possibly delisted; no timezone found
$XLNX: possibly delisted; no timezone found
$FTR: possibly delisted; no timezone found
$ESV: possibly delisted; no timezone found
$DISH: possibly delisted; no timezone found
$KSU: possibly delisted; no timezone found
$ARNC: possibly delisted; no timezone found
$PEAK: possibly delisted; no timezone found
$WRK: possibly delisted; no timezone found
$DISCK: possibly delisted; no timezone found
$DWDP: possibly delisted; no timezone found
$NLOK: possibly delisted; no timezone found
$LLTC: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$STJ: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$SNI: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$BXLT: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$MWV: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$RHT: possibly delisted; no timezone found
$DNR: possibly delisted; no timezone found
$WLTW: possibly delisted; no timezone found
$XL: possibly delisted; no timezone found
$KORS: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$HSP: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$ABC: possibly delisted; no timezone found
$ALXN: possibly delisted; no timezone found
$DNB: possibly delisted; no timezone found
$BHGE: possibly delisted; no timezone found
$SWN: possibly delisted; no timezone found
$DISCA: possibly delisted; no timezone found
$CPGX: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$CTRA: possibly delisted; no timezone found
$BCR: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$AVP: possibly delisted; no timezone found
$ENDP: possibly delisted; no timezone found
$WFM: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$IPG: possibly delisted; no timezone found
$BK: possibly delisted; no timezone found
$CBS: possibly delisted; no timezone found
$VIAC: possibly delisted; no timezone found
$MJN: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$LM: possibly delisted; no timezone found
$ATVI: possibly delisted; no timezone found
$PLL: possibly delisted; no timezone found
$LVLT: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$ANTM: possibly delisted; no timezone found
$CERN: possibly delisted; no timezone found
$CFN: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$HAR: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$SEE: possibly delisted; no timezone found
$DFS: possibly delisted; no timezone found
$MYL: possibly delisted; no timezone found
$AABA: possibly delisted; no timezone found
$ARG: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$GPS: possibly delisted; no timezone found
$WIN: possibly delisted; no timezone found
$PDCO: possibly delisted; no timezone found
$CMCSK: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$ANSS: possibly delisted; no timezone found
$TEG: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$SYMC: possibly delisted; no timezone found
$CVC: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$BLL: possibly delisted; no timezone found
$LO: possibly delisted; no price data found  (1d 2012-09-09 -> 2026-08-26)
$VIAB: possibly delisted; no timezone found
$HOLX: possibly delisted; no timezone found
$CTLT: possibly delisted; no timezone found
