Round C EDGE-cost re-audit — window 2015-01-07 -> 2026-08-26, n_trials=30 (both runs)
EDGE window: 63d; median half-spread bps quantiles {0.05: 14.99, 0.25: 19.56, 0.5: 23.72, 0.75: 30.31, 0.95: 47.9}; named {'AAPL': 21.07, 'MSFT': 21.75, 'JPM': 18.01, 'XOM': 16.72, 'NVDA': 32.01}

pattern_id                       flat_sharpe  flat_dsr edge_sharpe  edge_dsr  edge_cost  flat_cost  fb_frac
lps_intraday_l252_h63                  0.277     0.204       0.181     0.032     0.3565     0.0490    0.008
cgo_ls_decile_l252_h126                0.179     0.122       0.111     0.018     0.2643     0.0377    0.005
cgo_ls_decile_l504_h126                0.151     0.104       0.083     0.014     0.2622     0.0375    0.005
cgo_ls_quintile_l252_h126              0.137     0.096       0.067     0.012     0.2185     0.0348    0.004
lps_intraday_l252_h21                  0.136     0.095      -0.013     0.006     0.6011     0.0866    0.007
lps_intraday_l63_h63                   0.104     0.078      -0.080     0.003     0.6096     0.0833    0.006
cgo_ls_decile_l252_h63                 0.095     0.073      -0.014     0.006     0.4782     0.0635    0.004
cgo_ls_decile_l504_h63                 0.066     0.060      -0.044     0.004     0.4759     0.0634    0.003
lps_overnight_l252_h21                 0.056     0.056      -0.105     0.002     0.5474     0.0704    0.010
cgo_ls_quintile_l252_h63               0.055     0.056      -0.055     0.004     0.3880     0.0575    0.002
gh52_long_hedged_decile_h126           0.043     0.051      -0.027     0.005     0.0991     0.0218    0.001
lps_overnight_l252_h63                 0.041     0.051      -0.069     0.003     0.3536     0.0423    0.008
lps_intraday_l21_h63                   0.007     0.040      -0.198     0.001     0.6027     0.0844    0.007
lps_intraday_l21_h21                   0.001     0.038      -0.556     0.000     1.8091     0.2501    0.010
gh52_ls_quintile_h126                 -0.022     0.032      -0.084     0.003     0.1895     0.0327    0.003
cgo_ls_decile_l252_h21                -0.026     0.031      -0.230     0.000     0.9374     0.1264    0.003
gh52_ls_decile_h126                   -0.028     0.030      -0.089     0.003     0.2204     0.0356    0.005
gh52_long_hedged_decile_h63           -0.032     0.029      -0.157     0.001     0.2001     0.0404    0.002
cgo_ls_decile_l504_h21                -0.055     0.024      -0.257     0.000     0.9288     0.1263    0.003
lps_intraday_l63_h21                  -0.055     0.024      -0.362     0.000     1.1315     0.1621    0.007
gh52_ls_decile_h63                    -0.065     0.022      -0.161     0.001     0.3958     0.0610    0.003
gh52_ls_quintile_h63                  -0.071     0.021      -0.168     0.001     0.3331     0.0549    0.002
cgo_ls_quintile_l252_h21              -0.073     0.021      -0.272     0.000     0.7388     0.1124    0.002
gh52_ls_quintile_h21                  -0.259     0.004      -0.440     0.000     0.6812     0.1223    0.001
gh52_ls_decile_h21                    -0.292     0.003      -0.480     0.000     0.8459     0.1453    0.002
lps_overnight_l63_h21                 -0.295     0.003      -0.651     0.000     1.1166     0.1440    0.009
lps_overnight_l63_h63                 -0.335     0.002      -0.558     0.000     0.6493     0.0808    0.007
gh52_long_hedged_decile_h21           -0.406     0.001      -0.700     0.000     0.5255     0.1100    0.001
lps_overnight_l21_h63                 -0.566     0.000      -0.757     0.000     0.5969     0.0806    0.009
lps_overnight_l21_h21                 -0.969     0.000      -1.573     0.000     1.9756     0.2524    0.009
